D_WEEK_SEQ1|ROUND(SUN_SALES1/SUN_SALES2,2)|ROUND(MON_SALES1/MON_SALES2,2)|ROUND(TUE_SALES1/TUE_SALES2,2)|ROUND(WED_SALES1/WED_SALES2,2)|ROUND(THU_SALES1/THU_SALES2,2)|ROUND(FRI_SALES1/FRI_SALES2,2)|ROUND(SAT_SALES1/SAT_SALES2,2)|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5270|5.03|2.12|.79|.73|.91|4.3|3.39|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5271||.39|1.88|1.8|1.66|1.51|2.18|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5272|.58|.6|.22|.4|.57|1.47|1.19|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5273|.35|.3||.44|.32|.14|.13|
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5274|4.58|.83|.96|2.7|.42|.71||
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5275|.49|1.47|.77|1.25|1.91|1.53|.14|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5276|1.39|.6|2.55|1.14|.62|2.07|.16|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5277|.18|1.07|1.35|1.5||1.39|5.68|
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
 5278|1.41|1.93|.69|9.84||4.96||
