D_YEAR|BRAND_ID|BRAND|SUM_AGG|
 1998|5003001|exportischolar #1                                 |9355.5|
 1998|1004001|edu packamalg #1                                  |7444.36|
 1998|5001001|amalgscholar #1                                   |6717.44|
 1998|5004001|edu packscholar #1                                |2005.08|
 1998|8001009|amalgnameless #9                                  |1459.07|
 1998|7007010|brandbrand #10                                    |1234.24|
 1998|1003001|exportiamalg #1                                   |315.06|
 1998|2001001|amalgimporto #1                                   |21.04|
 1999|10010002|univamalgamalg #2                                 ||
 1999|3004001|edu packexporti #1                                |4045.66|
 1999|5003001|exportischolar #1                                 |3912.76|
 1999|1003001|exportiamalg #1                                   |1438.21|
 1999|5004001|edu packscholar #1                                |883.05|
 2000|5003001|amalgunivamalg #2                                 |12517.85|
 2000|3004001|edu packexporti #1                                |7572.18|
 2000|2001001|amalgimporto #1                                   |4386.6|
 2000|6004008|edu packcorp #8                                   |1265.02|
 2000|1004001|edu packamalg #1                                  |565.51|
 2000|10008017|namelessunivamalg #17                             |343.44|
 2000|3001002|amalgexporti #2                                   |26.64|
 2001|1001002|amalgamalg #2                                     |6594.9|
 2001|8001009|importoexporti #2                                 |5370.64|
 2001|3001002|amalgexporti #2                                   |4992.3|
 2001|1003001|exportiamalg #2                                   |4265.88|
 2001|10008017|namelessunivamalg #17                             |4047.08|
 2001|6005001|edu packimporto #2                                |975.84|
 2001|8004010|edu packnameless #10                              |608.76|
 2002|10013016|exportiamalgamalg #16                             ||
 2002|1003001|exportiamalg #2                                   |6877.78|
 2002|3001001|importoscholar #2                                 |3401.76|
 2002|7007010|brandbrand #10                                    |290.53|
 2002|1004001|exportiexporti #2                                 |222.14|
 2002|7009008|maxibrand #8                                      |209.58|
 2002|7011010|amalgnameless #10                                 |177.56|
 2002|1001002|amalgamalg #2                                     |156.75|
