CHANNEL|ID|SALES|RETURNS|PROFIT|
 catalog channel|catalog_pageAAAAAAAAAAABAAAA|0|16399.02|-7687.46|
 catalog channel|catalog_pageAAAAAAAAAACBAAAA|0|40.67|-580.23|
 catalog channel|catalog_pageAAAAAAAAACABAAAA|0|730.25|-219.14|
 catalog channel|catalog_pageAAAAAAAAAEABAAAA|0|2007.72|-1200.62|
 catalog channel|catalog_pageAAAAAAAAAEMAAAAA|0|1870.55|-2882.54|
 catalog channel|catalog_pageAAAAAAAAAEPAAAAA|0|745.57|-2382.22|
 catalog channel|catalog_pageAAAAAAAAAFABAAAA|0|10.36|-50.72|
 catalog channel|catalog_pageAAAAAAAAAFPAAAAA|0|646.14|-196.28|
 catalog channel|catalog_pageAAAAAAAAAGPAAAAA|0|14640.65|-7524.68|
 catalog channel|catalog_pageAAAAAAAAAHABAAAA|0|534.82|-1155.21|
 catalog channel|catalog_pageAAAAAAAAAHPAAAAA|0|368.91|-315.48|
 catalog channel|catalog_pageAAAAAAAAAIBBAAAA|0|1961.78|-2067.43|
 catalog channel|catalog_pageAAAAAAAAAIMAAAAA|0|1450.8|-2935.35|
 catalog channel|catalog_pageAAAAAAAAAIPAAAAA|0|6017.62|-4374.4|
 catalog channel|catalog_pageAAAAAAAAAJABAAAA|0|59.4|-109.02|
 catalog channel|catalog_pageAAAAAAAAAJPAAAAA|0|13147.2|-10628.83|
 catalog channel|catalog_pageAAAAAAAAAKPAAAAA|0|132.3|-732.43|
 catalog channel|catalog_pageAAAAAAAAALPAAAAA|0|267.47|-93.27|
 catalog channel|catalog_pageAAAAAAAAAMBBAAAA|0|4716.8|-1832.19|
 catalog channel|catalog_pageAAAAAAAAAMPAAAAA|0|1508.22|-82.69|
 catalog channel|catalog_pageAAAAAAAAAOPAAAAA|0|811.08|-213.05|
 catalog channel|catalog_pageAAAAAAAAAPABAAAA|0|569.4|-1160.54|
 catalog channel|catalog_pageAAAAAAAAAPPAAAAA|0|2151.35|-3697.11|
