BRAND_ID|BRAND|I_MANUFACT_ID|I_MANUFACT|EXT_PRICE|
 5004001|edu packscholar #1                                |191|oughtn stought                                    |8380.79|
 4001001|amalgedu pack #1                                  |106|callybarought                                     |7270.35|
 4001001|amalgedu pack #1                                  |236|callypriable                                      |6479.44|
 1002002|importoamalg #2                                   |489|n steingese                                       |5976|
 10011013|amalgamalgamalg #13                               |551|oughtantianti                                     |5821.41|
 7001002|amalgbrand #2                                     |122|ableableought                                     |4644.85|
 2001001|amalgimporto #1                                   |219|n stoughtable                                     |4617.46|
 1002002|importoamalg #2                                   |504|esebaranti                                        |4442.68|
 5002002|importoscholar #2                                 |245|antieseable                                       |3966|
 10003001|exportiunivamalg #1                               |252|ableantiable                                      |3613.4|
 2004001|edu packimporto #1                                |289|n steingable                                      |3510.54|
 3002002|importoexporti #2                                 |597|ationn stanti                                     |3432.06|
 1003002|exportiamalg #2                                   |483|prieingese                                        |3217.05|
 1002001|importoamalg #1                                   |184|eseeingought                                      |3108.04|
 10005003|scholarunivamalg #3                               |337|ationpripri                                       |3001.28|
 8011003|amalgmaxi #3                                      |683|prieingcally                                      |2728.26|
 3001001|amalgexporti #1                                   |358|eingantipri                                       |2538.21|
 3002001|importoexporti #1                                 |462|ablecallyese                                      |2329.88|
 8006008|corpnameless #8                                   |605|antibarcally                                      |2057.85|
 10009003|maxiunivamalg #3                                  |389|n steingpri                                       |1891.34|
 5003002|exportischolar #2                                 |162|ablecallyought                                    |1852.9|
 5004001|edu packscholar #1                                |361|oughtcallypri                                     |1726.98|
 7014001|edu packnameless #1                               |23|priable                                           |1335.32|
 10013006|exportiamalgamalg #6                              |461|oughtcallyese                                     |1089.6|
 2004001|edu packimporto #1                                |5|anti                                              |1018.56|
 8003007|exportinameless #7                                |85|antieing                                          |982.41|
 5004002|edu packscholar #2                                |427|ationableese                                      |947.92|
 10011002|amalgamalgamalg #2                                |112|ableoughtought                                    |895.68|
 8016009|corpmaxi #9                                       |734|esepriation                                       |764.65|
 5002001|importoscholar #1                                 |442|ableeseese                                        |624.24|
 1001001|amalgamalg #1                                     |89|n steing                                          |475.3|
 4003001|exportiedu pack #1                                |659|n stantically                                     |400.66|
 8009007|maxinameless #7                                   |146|callyeseought                                     |358.56|
 9013005|exportiunivamalg #5                               |362|ablecallypri                                      |217.34|
 2004001|edu packimporto #1                                |584|eseeinganti                                       |183.24|
 1002002|importoamalg #2                                   |94|esen st                                           |174.53|
 4004001|edu packedu pack #1                               |718|eingoughtation                                    |148.77|
 4003001|exportiedu pack #1                                |30|barpri                                            |93.94|
