I_ITEM_ID|S_STATE|G_STATE|AGG1|AGG2|AGG3|AGG4|
 AAAAAAAAANKCAAAA|TN|0|19|106.99|0|67.4|
 AAAAAAAAANKCAAAA||1|19|106.99|0|67.4|
 AAAAAAAABDGAAAAA|TN|0|25|25.72|0|17.23|
 AAAAAAAABDGAAAAA||1|25|25.72|0|17.23|
 AAAAAAAADBFBAAAA|TN|0|68|110.14|0|29.73|
 AAAAAAAADBFBAAAA||1|68|110.14|0|29.73|
 AAAAAAAAGJEEAAAA|TN|0|13|36.16|0|15.18|
 AAAAAAAAGJEEAAAA||1|13|36.16|0|15.18|
 AAAAAAAAHCHAAAAA|TN|0|80|91.29|0|60.25|
 AAAAAAAAHCHAAAAA||1|80|91.29|0|60.25|
 AAAAAAAAICNAAAAA|TN|0|88|1.93|0|.98|
 AAAAAAAAICNAAAAA||1|88|1.93|0|.98|
 AAAAAAAAIFLBAAAA|TN|0|69|172.71|0|88.08|
 AAAAAAAAIFLBAAAA||1|69|172.71|0|88.08|
 AAAAAAAAIGFDAAAA|TN|0|69|108.05|0|44.3|
 AAAAAAAAIGFDAAAA||1|69|108.05|0|44.3|
 AAAAAAAAIMGCAAAA|TN|0|49|149.94|0|53.97|
 AAAAAAAAIMGCAAAA||1|49|149.94|0|53.97|
 AAAAAAAAMDFDAAAA|TN|0|36|52.07|0|7.28|
 AAAAAAAAMDFDAAAA||1|36|52.07|0|7.28|
 AAAAAAAAMDHAAAAA|TN|0|11|84.81|60.44|68.69|
 AAAAAAAAMDHAAAAA||1|11|84.81|60.44|68.69|
 AAAAAAAAOJGDAAAA|TN|0|84|181.93|0|27.28|
 AAAAAAAAOJGDAAAA||1|84|181.93|0|27.28|
 AAAAAAAAOLNDAAAA|TN|0|51|4.03|0|2.05|
 AAAAAAAAOLNDAAAA||1|51|4.03|0|2.05|
 AAAAAAAAPMEDAAAA|TN|0|31|113.72|0|45.48|
 AAAAAAAAPMEDAAAA||1|31|113.72|0|45.48|
 ||1|49.5|88.535|4.31714285714285714285714285714285714286E00|3.77071428571428571428571428571428571429E01|
