I_MANUFACT_ID|TOTAL_SALES|
 899|8.88|
 910|30.03|
 607|31.29|
 794|44.8|
 658|77.56|
 946|84.24|
 810|89.9|
 947|98.52|
 472|156|
 789|199.44|
 781|276.48|
 798|416.92|
 832|468.78|
 968|555.62|
 341|560.78|
 611|576.3|
 812|593.28|
 773|596.12|
 963|733.46|
 928|774.05|
 335|814.24|
 745|905.6|
 774|929.35|
 741|941.4|
 697|959.48|
 971|991.57|
 770|1059.66|
 593|1068.5|
 524|1103.16|
 652|1118.43|
 854|1123.4|
 535|1145.14|
 704|1196.42|
 212|1239.46|
 655|1375.97|
 628|1499.38|
 896|1540.5|
 1000|1566.12|
 981|1583.19|
 793|1588.08|
 429|1674.84|
 402|1675.09|
 740|1689.84|
 660|1693.2|
 632|1720.87|
 764|1784.13|
 886|1798.35|
 870|1826.77|
 839|1836.7|
 623|1908.7|
 966|1928.16|
 645|1943.58|
 806|1964.34|
 358|2008.6|
 692|2013.66|
 414|2026.85|
 469|2125.48|
 432|2176.26|
 401|2186.35|
 937|2189.1|
 838|2256.8|
 406|2257.23|
 709|2397|
 662|2446.47|
 541|2539.04|
 407|2550.31|
 490|2565.55|
 780|2591.08|
 440|2618.48|
 653|2688.36|
 951|2753.62|
 445|2788.76|
 865|2838.85|
 35|2885.77|
 442|2893.26|
 529|3025.47|
 860|3132.63|
 961|3168.85|
 766|3341|
 364|3382.71|
 898|3404.77|
 788|3471.56|
 579|3515.87|
 974|3527.17|
 733|3536.04|
 416|3541.4|
 884|3590.32|
 548|3667.86|
 99|3668.98|
 772|3676.1|
 299|3714.42|
 590|3715.28|
 478|3716.28|
 200|3724.88|
 431|3769.77|
 942|3840.7|
 73|3909.36|
 419|3918.2|
 555|3982.64|
 545|3987.14|
