GROSS_MARGIN|I_CATEGORY|I_CLASS|LOCHIERARCHY|RANK_WITHIN_PARENT|
 -4.3173136171257959913681914628585285191E-01|||2|1|
 -4.701307638641371937662152838050672232E-01|Books                                             ||1|1|
 -4.4657050586089766447745275728721277602E-01|Sports                                            ||1|2|
 -4.3885182103123824701054114474882603929E-01|Music                                             ||1|3|
 -4.3622313475094518596376661332739641329E-01|Women                                             ||1|4|
 -4.3170661262116416830960763979768064032E-01|Children                                          ||1|5|
 -4.289362442109892211495824190946660665E-01|Home                                              ||1|6|
 -4.257029459817684891010177497461872885E-01|Electronics                                       ||1|7|
 -4.1870764477417205734955032976463915412E-01|Shoes                                             ||1|8|
 -4.1830886787238095130438812703576618284E-01|Jewelry                                           ||1|9|
 -4.1084535578900771786790332471281659017E-01|Men                                               ||1|10|
 -3.1411048737665428269393649173151509257E-01|||1|11|
 -3.7006348000651076989854050241441050404E00|Books                                             ||0|1|
 -6.3342530701508289723557361846082258031E-01|Books                                             |mystery                                           |0|2|
 -6.0020403348890224688201638018990125492E-01|Books                                             |parenting                                         |0|3|
 -5.9348704910266500676008647776797499731E-01|Books                                             |romance                                           |0|4|
 -5.9129160907789597003411688987915495159E-01|Books                                             |fiction                                           |0|5|
 -5.5732974779477458086274831041480153353E-01|Books                                             |home repair                                       |0|6|
 -5.5171744787168116857662657987912681145E-01|Books                                             |travel                                            |0|7|
 -5.4575669266633773854187707580689490746E-01|Books                                             |entertainments                                    |0|8|
 -5.0467482295302384263309604280438726551E-01|Books                                             |arts                                              |0|9|
 -4.5427218706750906473407784640164606483E-01|Books                                             |history                                           |0|10|
 -4.3962619967247714213790008553725934343E-01|Books                                             |sports                                            |0|11|
 -4.090121354009001560505800351225436847E-01|Books                                             |self-help                                         |0|12|
 -4.0020168417169280795410521323271658397E-01|Books                                             |reference                                         |0|13|
 -3.9504256109807615808412779165882071414E-01|Books                                             |business                                          |0|14|
 -3.5577637602132597430270792721094234185E-01|Books                                             |cooking                                           |0|15|
 -3.2687463261768974556790311119730832802E-01|Books                                             |computers                                         |0|16|
 -2.7102894503743676513989279993936443799E-01|Books                                             |science                                           |0|17|
 -5.1785986916601470029469064729424964302E-01|Children                                          |toddlers                                          |0|1|
 -5.0310998442426007536958467115713685856E-01|Children                                          |newborn                                           |0|2|
 -4.0317022742935906271536871123363197795E-01|Children                                          ||0|3|
 -3.7200332010138294296128488066401891581E-01|Children                                          |school-uniforms                                   |0|4|
 -3.4965599144083667277032547058120156306E-01|Children                                          |infants                                           |0|5|
 -5.4926676579766202494775231688964695174E-01|Electronics                                       |portable                                          |0|1|
 -5.155361614515917970740543249233226885E-01|Electronics                                       |automotive                                        |0|2|
 -4.8138221015629723902360526509888596954E-01|Electronics                                       |karoke                                            |0|3|
 -4.7504022963478091179589908388819775576E-01|Electronics                                       |personal                                          |0|4|
 -4.6902182406479624168789609648525969236E-01|Electronics                                       |wireless                                          |0|5|
 -4.6672665882346545234738257011004804045E-01|Electronics                                       |dvd/vcr players                                   |0|6|
 -4.5713843929281070495289424257398640054E-01|Electronics                                       |disk drives                                       |0|7|
 -4.4012376652228071305272568110543337118E-01|Electronics                                       |scanners                                          |0|8|
 -4.2721243913013138156886510346078365358E-01|Electronics                                       |stereo                                            |0|9|
 -4.123854683318940217439491281672982496E-01|Electronics                                       |televisions                                       |0|10|
 -4.1131840904380896544625490067532351622E-01|Electronics                                       |cameras                                           |0|11|
 -4.103230484260274351202704819110615678E-01|Electronics                                       |memory                                            |0|12|
 -3.8319964115660307205202089857295407237E-01|Electronics                                       |camcorders                                        |0|13|
 -3.7864663995880261316352830434765774196E-01|Electronics                                       |musical                                           |0|14|
 -3.2246957227963584282670552704849092755E-01|Electronics                                       |monitors                                          |0|15|
 -2.5133019793180713746186191852077388801E-01|Electronics                                       |audio                                             |0|16|
 -6.5573352020891825567244830916213299959E-01|Home                                              |flatware                                          |0|1|
 -6.4070110117325223974280003809686642632E-01|Home                                              |bathroom                                          |0|2|
 -6.0711506056415720233642388109325293375E-01|Home                                              ||0|3|
 -6.0486704239557029366672888870908197613E-01|Home                                              |wallpaper                                         |0|4|
 -5.5979579486491633266499353679005345298E-01|Home                                              |kids                                              |0|5|
 -4.8918385096503796985350848384106204811E-01|Home                                              |glassware                                         |0|6|
 -4.4334367809731691514114755455823030757E-01|Home                                              |blinds/shades                                     |0|7|
 -4.3557852060525125772888392132034221247E-01|Home                                              |tables                                            |0|8|
 -4.2382136863676286115464688904759382883E-01|Home                                              |curtains/drapes                                   |0|9|
 -3.8792179626469845392257077937716844205E-01|Home                                              |lighting                                          |0|10|
 -3.8553791796434658352373590121120601244E-01|Home                                              |accent                                            |0|11|
 -3.8277022020419117209507582969703205581E-01|Home                                              |paint                                             |0|12|
 -3.7165848082076307684900220952343188801E-01|Home                                              |decor                                             |0|13|
 -3.3680938634276640412604908288253677086E-01|Home                                              |rugs                                              |0|14|
 -3.2408667951352898083537850157142534869E-01|Home                                              |bedding                                           |0|15|
 -3.0829864901920608853699982976398356356E-01|Home                                              |mattresses                                        |0|16|
 -2.4196837677475527138965542306811993865E-01|Home                                              |furniture                                         |0|17|
 -1.2539106145251396648044692737430167598E01|Jewelry                                           ||0|1|
 -7.6035734981091341033596286764227736264E-01|Jewelry                                           |consignment                                       |0|2|
 -5.9216828529268463940971561529675286773E-01|Jewelry                                           |costume                                           |0|3|
 -5.6413502822962192232853176862067835454E-01|Jewelry                                           |gold                                              |0|4|
 -5.4209383920211460931209195473454270026E-01|Jewelry                                           |loose stones                                      |0|5|
 -4.6020503684710826329973891991605055831E-01|Jewelry                                           |womens watch                                      |0|6|
 -4.5934051574657707987215109119516446796E-01|Jewelry                                           |estate                                            |0|7|
 -4.4296838103978617303595166708041493726E-01|Jewelry                                           |earings                                           |0|8|
 -4.1659526795700356201648494572895217859E-01|Jewelry                                           |mens watch                                        |0|9|
 -4.0255352914919490277101248153416513156E-01|Jewelry                                           |rings                                             |0|10|
 -3.8978479759639247671855861549946952284E-01|Jewelry                                           |jewelry boxes                                     |0|11|
 -3.5788309336433094701497408711070534648E-01|Jewelry                                           |birdal                                            |0|12|
 -3.5386602635016068259046918236928651742E-01|Jewelry                                           |pendants                                          |0|13|
 -3.4874162075176045139384054470768243694E-01|Jewelry                                           |custom                                            |0|14|
 -3.4280235280781481677539887637145083042E-01|Jewelry                                           |bracelets                                         |0|15|
 -2.7299066661781677627360823609152026965E-01|Jewelry                                           |semi-precious                                     |0|16|
 -2.6223484957536981203295430575368118517E-01|Jewelry                                           |diamonds                                          |0|17|
 -5.9931268054587110269947205897001693396E-01|Men                                               ||0|1|
 -4.2777909006625992817171259321681630302E-01|Men                                               |shirts                                            |0|2|
 -4.1454824648827678061558964066796908727E-01|Men                                               |sports-apparel                                    |0|3|
 -4.0803249013516568439112711616115164597E-01|Men                                               |accessories                                       |0|4|
 -3.9072256338796932437064179601946957108E-01|Men                                               |pants                                             |0|5|
 -4.9420443302418348787226280549587360913E-01|Music                                             |rock                                              |0|1|
 -4.41500586986490548902935922000776529E-01|Music                                             |classical                                         |0|2|
 -4.3941191563753576733300778718196633812E-01|Music                                             |pop                                               |0|3|
 -3.94136802712125251626025842975054817E-01|Music                                             |country                                           |0|4|
 -2.4913892802056231058623520791215110978E-01|Music                                             ||0|5|
 -4.3437130055565504982017770622195699794E-01|Shoes                                             |mens                                              |0|1|
 -4.3101673922883843985745041958931308412E-01|Shoes                                             |womens                                            |0|2|
 -4.2261924880405506860113740873514893298E-01|Shoes                                             |athletic                                          |0|3|
 -3.8368277306680183310017426209864047416E-01|Shoes                                             |kids                                              |0|4|
 -6.2302208657156086716003985965336005785E-01|Sports                                            |archery                                           |0|1|
 -6.067652249522223066129445194439804546E-01|Sports                                            |hockey                                            |0|2|
