I_CATEGORY|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_YEAR|D_MOY|AVG_MONTHLY_SALES|SUM_SALES|PSUM|NSUM|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|3|3.07461666666666666666666666666666666667E02|38.43|48.3|71.77|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|5|2.66174166666666666666666666666666666667E02|4.1|258.69|58.8|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|2|3.07461666666666666666666666666666666667E02|48.3|566.02|38.43|
 Children                                          |importoexporti #1                                 |eing|Unknown|1999|1|259.5|1.64|295.6|123.69|
 Music                                             |edu packscholar #1                                |ation|Unknown|1999|6|296.4475|38.73|469.89|59.86|
 Music                                             |edu packscholar #1                                |ation|Unknown|1999|3|296.4475|40.88|151.7|225.05|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|1|2.66174166666666666666666666666666666667E02|19.82|380.86|48.78|
 Men                                               |importoimporto #1                                 |ation|Unknown|1999|3|2.56254166666666666666666666666666666667E02|15.17|53.49|123.68|
 Men                                               |importoimporto #1                                 |eing|Unknown|1999|5|2.42813636363636363636363636363636363636E02|2.14|151.42|202.86|
 Music                                             |edu packscholar #1                                |ation|Unknown|1999|7|296.4475|59.86|38.73|261.12|
 Music                                             |edu packscholar #1                                |ese|Unknown|1999|4|2.51370909090909090909090909090909090909E02|15.19|31.54|56.58|
 Men                                               |importoimporto #1                                 |ation|Unknown|1999|1|2.56254166666666666666666666666666666667E02|20.41|473.01|53.49|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|4|3.07461666666666666666666666666666666667E02|71.77|38.43|232.98|
 Men                                               |importoimporto #1                                 |able|Unknown|1999|2|268.4525|33.78|73.8|395.83|
 Women                                             |edu packamalg #1                                  |bar|Unknown|1999|4|2.70853636363636363636363636363636363636E02|38.23|311.82|103.96|
 Women                                             |amalgamalg #1                                     |ation|Unknown|1999|5|2.48068181818181818181818181818181818182E02|15.95|266.84|139.95|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|10|2.52078888888888888888888888888888888889E02|21.43|338.31|599.02|
 Men                                               |amalgimporto #1                                   |ation|Unknown|1999|7|2.32289090909090909090909090909090909091E02|2.61|58.82|186.66|
 Women                                             |edu packamalg #1                                  |bar|Unknown|1999|2|2.70853636363636363636363636363636363636E02|41.73|205.41|311.82|
 Shoes                                             |importoedu pack #1                                |eing|Unknown|1999|6|2.65774545454545454545454545454545454545E02|37.97|67.78|298.87|
