ITEM_SK|D_DATE|WEB_SALES|STORE_SALES|WEB_CUMULATIVE|STORE_CUMULATIVE|
 1|2000-12-01 00:00:00.0||56.52|326.89|56.52|
 1|2000-12-07 00:00:00.0|568.92||568.92|56.52|
 1|2000-12-30 00:00:00.0||60.08|568.92|60.08|
 2|2000-11-25 00:00:00.0||32.97|33.75|32.97|
 5|2000-08-15 00:00:00.0|160.61||160.61|27.75|
 5|2000-08-26 00:00:00.0||69.31|160.61|69.31|
 5|2000-12-24 00:00:00.0|224.45||224.45|69.31|
 7|2000-08-27 00:00:00.0|54.08||54.08|2.49|
 7|2000-09-15 00:00:00.0|125.1||125.1|2.49|
 7|2000-09-18 00:00:00.0||17.96|125.1|17.96|
 7|2000-10-01 00:00:00.0|174.03||174.03|17.96|
 7|2000-10-15 00:00:00.0||86.81|174.03|86.81|
 7|2000-12-02 00:00:00.0||106.26|174.03|106.26|
 7|2000-12-23 00:00:00.0|309.2||309.2|106.26|
 14|2000-09-06 00:00:00.0||97.39|157.75|97.39|
 14|2000-11-22 00:00:00.0|222.07||222.07|97.39|
 14|2000-11-25 00:00:00.0||110.13|222.07|110.13|
 14|2000-12-02 00:00:00.0||133.07|222.07|133.07|
 17|2000-06-09 00:00:00.0|164.91||164.91|81.69|
 17|2000-09-08 00:00:00.0||84.11|164.91|84.11|
 17|2000-11-22 00:00:00.0|200.06||200.06|84.11|
 17|2000-12-30 00:00:00.0|220.95||220.95|84.11|
 20|2000-12-02 00:00:00.0|127.32||127.32|109.53|
 23|2000-11-15 00:00:00.0||10.71|51.88|10.71|
 23|2000-11-18 00:00:00.0|84.93||84.93|10.71|
 23|2000-11-19 00:00:00.0||34.12|84.93|34.12|
 25|2000-11-07 00:00:00.0||83.16|187.36|83.16|
 25|2000-12-14 00:00:00.0|372.81||372.81|83.16|
 25|2000-12-31 00:00:00.0||85.96|372.81|85.96|
 26|2000-12-13 00:00:00.0|229.55||229.55|180.03|
 29|2000-08-23 00:00:00.0||51.65|171.05|51.65|
 29|2000-11-07 00:00:00.0|224.94||224.94|51.65|
 29|2000-12-03 00:00:00.0|243.76||243.76|51.65|
 29|2000-12-17 00:00:00.0|255.94||255.94|51.65|
 29|2000-12-20 00:00:00.0|261.68||261.68|51.65|
 31|2000-10-05 00:00:00.0|86.23||86.23|82.91|
 31|2000-11-04 00:00:00.0|131.05||131.05|82.91|
 31|2000-11-07 00:00:00.0|143.77||143.77|82.91|
 32|2000-11-14 00:00:00.0|104.34||104.34|36.14|
 35|2000-10-14 00:00:00.0||72.96|102.13|72.96|
 35|2000-10-18 00:00:00.0||81.52|102.13|81.52|
 35|2000-10-28 00:00:00.0|199.38||199.38|81.52|
 37|2000-12-28 00:00:00.0|53.89||53.89|8.16|
 38|2000-11-06 00:00:00.0|18.85||18.85|11.33|
 38|2000-11-21 00:00:00.0|150.4||150.4|11.33|
 38|2000-12-27 00:00:00.0|158.21||158.21|11.33|
 41|2000-11-12 00:00:00.0||7.07|70.15|7.07|
 41|2000-12-21 00:00:00.0||34.84|70.15|34.84|
 41|2000-12-27 00:00:00.0|223.02||223.02|34.84|
 43|2000-11-04 00:00:00.0||47.32|185.6|47.32|
 43|2000-11-14 00:00:00.0|244.73||244.73|47.32|
 43|2000-12-31 00:00:00.0||75.49|244.73|75.49|
 44|2000-07-27 00:00:00.0|132.66||132.66|77.53|
 47|2000-11-12 00:00:00.0||22.8|93.12|22.8|
 49|2000-09-25 00:00:00.0||6.68|186.85|6.68|
 49|2000-10-28 00:00:00.0|251.06||251.06|6.68|
 49|2000-11-28 00:00:00.0|334.36||334.36|6.68|
 49|2000-12-02 00:00:00.0||20.75|334.36|20.75|
 49|2000-12-26 00:00:00.0||31.16|334.36|31.16|
 55|2000-12-30 00:00:00.0|124.14||124.14|55.13|
 56|2000-12-28 00:00:00.0||87.35|259.54|87.35|
 61|2000-10-19 00:00:00.0|153.74||153.74|109.31|
 61|2000-10-30 00:00:00.0||117.13|153.74|117.13|
 62|2000-08-29 00:00:00.0|58.57||58.57|18.08|
 62|2000-10-04 00:00:00.0|74.7||74.7|18.08|
 62|2000-10-25 00:00:00.0|94.87||94.87|18.08|
 62|2000-12-20 00:00:00.0|95.97||95.97|18.08|
 65|2000-04-18 00:00:00.0||3.64|18.96|3.64|
 65|2000-09-02 00:00:00.0|281.59||281.59|3.64|
 65|2000-09-28 00:00:00.0|329.48||329.48|3.64|
 65|2000-11-28 00:00:00.0|329.48||329.48|3.64|
 68|2000-11-17 00:00:00.0||67.53|218.89|67.53|
 68|2000-11-29 00:00:00.0|229.54||229.54|67.53|
 68|2000-12-03 00:00:00.0||103.65|229.54|103.65|
 73|2000-11-18 00:00:00.0|88.05||88.05|39.07|
 73|2000-11-19 00:00:00.0||39.07|88.05|39.07|
 85|2000-11-12 00:00:00.0||26.73|72.51|26.73|
 86|2000-04-06 00:00:00.0||26.52|119.56|26.52|
 86|2000-08-27 00:00:00.0|210.09||210.09|26.52|
 86|2000-09-16 00:00:00.0|346.03||346.03|26.52|
 86|2000-09-29 00:00:00.0||121.38|346.03|121.38|
 86|2000-12-18 00:00:00.0|393.43||393.43|121.38|
 89|2000-11-09 00:00:00.0||4.88|348.12|4.88|
 89|2000-11-27 00:00:00.0|400.36||400.36|4.88|
 89|2000-12-26 00:00:00.0|452.28||452.28|4.88|
 91|2000-12-06 00:00:00.0|160.59||160.59|145.61|
 92|2000-11-14 00:00:00.0|127.89||127.89|22.5|
 92|2000-11-23 00:00:00.0||26.33|127.89|26.33|
 92|2000-12-13 00:00:00.0||45.84|127.89|45.84|
 98|2000-11-06 00:00:00.0|153.22||153.22|63.32|
 98|2000-11-21 00:00:00.0|159.54||159.54|63.32|
 98|2000-12-10 00:00:00.0||94.42|159.54|94.42|
 98|2000-12-27 00:00:00.0|171.35||171.35|94.42|
 101|2000-08-29 00:00:00.0||34.93|340.74|34.93|
 103|2000-09-01 00:00:00.0|151.52||151.52|4.27|
 103|2000-09-04 00:00:00.0|216.36||216.36|4.27|
 103|2000-11-13 00:00:00.0||59.37|216.36|59.37|
 103|2000-12-14 00:00:00.0|218.52||218.52|59.37|
