D_YEAR|BRAND_ID|BRAND|EXT_PRICE|
 2000|4002001|scholarmaxi #6                                    |11072.58|
 2000|7016001|corpnameless #1                                   |7663.83|
 2000|3004002|edu packexporti #2                                |6994.86|
 2000|2001002|amalgimporto #2                                   |6303.84|
 2000|2004001|edu packunivamalg #8                              |5968.03|
 2000|1001002|amalgamalg #2                                     |4901.58|
 2000|3001002|amalgexporti #2                                   |4605.32|
 2000|4003001|exportischolar #2                                 |2581.47|
 2000|8003010|exportinameless #10                               |1655.58|
 2000|9014006|edu packunivamalg #6                              |1623.74|
 2000|4001002|amalgedu pack #2                                  |1412.98|
 2000|5002002|importoscholar #2                                 |1028.72|
 2000|10015013|scholaramalgamalg #13                             |961.45|
 2000|5001001|exportinameless #8                                |909.15|
 2000|10004012|edu packunivamalg #12                             |853.2|
 2000|9012003|importounivamalg #3                               |663.78|
 2000|10014001|maxibrand #4                                      |649.18|
 2000|7001005|amalgbrand #5                                     |605.12|
 2000|8005009|corpnameless #10                                  |534.52|
 2000|8010003|namelessunivamalg #5                              |506.1|
 2000|4004001|edu packedu pack #1                               |478.08|
 2000|10002012|importounivamalg #12                              |454.86|
 2000|5004002|edu packscholar #2                                |426.06|
 2000|7016009|univnameless #10                                  |339.5|
 2000|9015009|scholarunivamalg #9                               |248.16|
 2000|7010004|univnameless #4                                   |133.38|
 2000|10004004|edu packunivamalg #4                              |99.96|
 2000|6015006|scholarbrand #6                                   |96.73|
 2000|3002001|importoexporti #1                                 |94.64|
 2000|7016007|corpnameless #7                                   |82.6|
 2000|6003008|exporticorp #8                                    |68.84|
 2000|1004001|edu packamalg #1                                  |62.4|
 2000|3001001|maxibrand #8                                      |61.38|
 2000|10003016|exportiunivamalg #16                              |53.24|
 2000|7015007|scholarnameless #7                                |18.6|
 2000|3002002|importoexporti #2                                 |9.92|
