I_MANUFACT_ID|SUM_SALES|AVG_QUARTERLY_SALES|
 194|1.85|2.44|
 194|3.03|2.44|
 14|.51|3.28|
 14|6.05|3.28|
 406|2.42|5.405|
 406|8.39|5.405|
 151|7.85|9.94|
 151|11.15|9.94|
 623|9.15|12.4|
 623|15.65|12.4|
 26|11|12.665|
 26|14.33|12.665|
 332|11.48|13.465|
 332|15.45|13.465|
 288|3.94|13.55|
 288|23.16|13.55|
 242|6|13.855|
 242|21.71|13.855|
 97|7.76|1.57366666666666666666666666666666666667E01|
 97|11.61|1.57366666666666666666666666666666666667E01|
 97|27.84|1.57366666666666666666666666666666666667E01|
 435|5.22|16.095|
 435|26.97|16.095|
 860|2.95|16.165|
 860|29.38|16.165|
 29|9.19|16.86|
 29|24.53|16.86|
 58|.38|1.68966666666666666666666666666666666667E01|
 58|2.28|1.68966666666666666666666666666666666667E01|
 58|48.03|1.68966666666666666666666666666666666667E01|
 199|1.32|16.94|
 199|2.65|16.94|
 199|46.85|16.94|
 989|2.16|1.71733333333333333333333333333333333333E01|
 989|2.49|1.71733333333333333333333333333333333333E01|
 989|46.87|1.71733333333333333333333333333333333333E01|
 389|1.97|17.55|
 389|33.13|17.55|
 235|14.27|17.92|
 235|21.57|17.92|
 160|3.02|1.82766666666666666666666666666666666667E01|
 160|33.51|1.82766666666666666666666666666666666667E01|
 411|9.91|18.48|
 411|26.4|18.48|
 631|5.21|18.68|
 631|32.15|18.68|
 188|0|1.96933333333333333333333333333333333333E01|
 188|28.29|1.96933333333333333333333333333333333333E01|
 188|30.79|1.96933333333333333333333333333333333333E01|
 395|2.8|2.05066666666666666666666666666666666667E01|
 395|26.28|2.05066666666666666666666666666666666667E01|
 395|32.44|2.05066666666666666666666666666666666667E01|
 315|14.14|20.52|
 315|25.88|20.52|
 221|3.47|21.24|
 221|39.01|21.24|
 231|.71|21.495|
 231|10.38|21.495|
 231|23.86|21.495|
 231|51.03|21.495|
 646|1.41|21.54|
 646|41.67|21.54|
 784|5.36|2.17633333333333333333333333333333333333E01|
 784|11.81|2.17633333333333333333333333333333333333E01|
 784|48.12|2.17633333333333333333333333333333333333E01|
 563|14.63|22.025|
 563|29.42|22.025|
 85|12.23|23.39|
 85|34.55|23.39|
 638|16.22|24.195|
 638|32.17|24.195|
 409|18.62|24.55|
 409|30.48|24.55|
 145|16.48|25.005|
 145|33.53|25.005|
 55|1.94|25.28|
 55|48.62|25.28|
 372|1.16|2.59933333333333333333333333333333333333E01|
 372|15.98|2.59933333333333333333333333333333333333E01|
 372|60.84|2.59933333333333333333333333333333333333E01|
 507|4.38|26.16|
 507|47.94|26.16|
 489|1.88|26.55|
 489|7.82|26.55|
 489|69.95|26.55|
 436|11.15|26.61|
 436|42.07|26.61|
 215|3.46|28.23|
 215|35.03|28.23|
 215|46.2|28.23|
 732|9.66|2.87433333333333333333333333333333333333E01|
 732|20.6|2.87433333333333333333333333333333333333E01|
 732|55.97|2.87433333333333333333333333333333333333E01|
 644|18.96|29.04|
 644|39.12|29.04|
 662|10.35|29.075|
 662|47.8|29.075|
 505|7.74|29.12|
 505|50.5|29.12|
 104|5.4|29.775|
