BRAND_ID|BRAND|EXT_PRICE|
 7003005|exportibrand #5                                   |9853.12|
 9009002|maximaxi #2                                       |9800.64|
 2004002|edu packimporto #2                                |9407.67|
 1002001|importoamalg #1                                   |8462.97|
 8005010|scholarnameless #10                               |7154.7|
 8011009|amalgmaxi #9                                      |7109.83|
 7009005|maxibrand #5                                      |6834.96|
 10005001|scholarunivamalg #1                               |6109.01|
 10006017|corpunivamalg #17                                 |5759.03|
 8009003|maxinameless #3                                   |5613.23|
 4003001|exportiedu pack #1                                |4847.5|
 3001002|amalgexporti #2                                   |4365|
 1003001|exportiamalg #1                                   |4183.74|
 1004001|edu packamalg #1                                  |3804.64|
 5003001|exportischolar #1                                 |3707.36|
 4004002|edu packedu pack #2                               |3398.8|
 2004001|edu packimporto #1                                |2625.84|
 10009006|maxiunivamalg #6                                  |2602.87|
 5004001|edu packscholar #1                                |2435.04|
 4002001|importoedu pack #1                                |2418.82|
 4001002|amalgedu pack #2                                  |2233.5|
 6013005|exportibrand #5                                   |2203.15|
 5003002|exportischolar #2                                 |1960.54|
 5001001|amalgscholar #1                                   |1755.12|
 8012005|importomaxi #5                                    |1633.75|
 10014016|edu packamalgamalg #16                            |1404.36|
 3003001|exportiexporti #1                                 |1395.7|
 6005001|scholarcorp #1                                    |1235.1|
 9004008|edu packmaxi #8                                   |1161.6|
 9016003|corpunivamalg #3                                  |994.7|
 8009007|maxinameless #7                                   |964.06|
 6015001|scholarbrand #1                                   |923|
 10011013|amalgamalgamalg #13                               |898.92|
 10012012|importoamalgamalg #12                             |770.56|
 3002001|importoexporti #1                                 |765.87|
 1001001|amalgamalg #1                                     |668.81|
 6002001|importocorp #1                                    |516.89|
 9013009|exportiunivamalg #9                               |360.48|
 3003002|exportiexporti #2                                 |280.56|
 9016009|corpunivamalg #9                                  |238.68|
 3004001|edu packexporti #1                                |211.73|
 10015001|scholaramalgamalg #1                              |124.75|
 10015011|scholaramalgamalg #11                             |120.5|
 8006005|corpnameless #5                                   |72.8|
 6013007|exportibrand #7                                   |59.67|
 8002010|importonameless #10                               |49.4|
 5002002|importoscholar #2                                 |24.36|
 4001001|amalgedu pack #1                                  |12|
 3001001|amalgexporti #1                                   |0|
 5002001|importoscholar #1                                 |0|
