SUBSTR(W_WAREHOUSE_NAME,1,20)|SM_TYPE|WEB_NAME|30 days|31-60 days|61-90 days|91-120 days|>120 days|
 Bad cards must make.|EXPRESS                       |site_0|42|36|44|44|0|
 Bad cards must make.|EXPRESS                       |site_1|48|49|57|42|0|
 Bad cards must make.|EXPRESS                       |site_2|36|42|51|43|0|
 Bad cards must make.|EXPRESS                       |site_3|57|31|48|45|0|
 Bad cards must make.|EXPRESS                       |site_4|40|59|50|54|0|
 Bad cards must make.|LIBRARY                       |site_0|41|45|34|38|0|
 Bad cards must make.|LIBRARY                       |site_1|30|33|34|26|0|
 Bad cards must make.|LIBRARY                       |site_2|31|30|32|28|0|
 Bad cards must make.|LIBRARY                       |site_3|33|39|26|29|0|
 Bad cards must make.|LIBRARY                       |site_4|39|38|43|41|0|
 Bad cards must make.|NEXT DAY                      |site_0|33|42|46|41|0|
 Bad cards must make.|NEXT DAY                      |site_1|59|54|46|46|0|
 Bad cards must make.|NEXT DAY                      |site_2|40|47|42|43|0|
 Bad cards must make.|NEXT DAY                      |site_3|41|44|45|58|0|
 Bad cards must make.|NEXT DAY                      |site_4|45|43|41|49|0|
 Bad cards must make.|OVERNIGHT                     |site_0|40|42|33|29|0|
 Bad cards must make.|OVERNIGHT                     |site_1|40|40|40|43|0|
 Bad cards must make.|OVERNIGHT                     |site_2|49|32|37|31|0|
 Bad cards must make.|OVERNIGHT                     |site_3|32|32|33|44|0|
 Bad cards must make.|OVERNIGHT                     |site_4|34|34|24|33|0|
 Bad cards must make.|REGULAR                       |site_0|33|50|35|39|0|
 Bad cards must make.|REGULAR                       |site_1|25|24|28|36|0|
 Bad cards must make.|REGULAR                       |site_2|32|31|29|33|0|
 Bad cards must make.|REGULAR                       |site_3|35|39|32|39|0|
 Bad cards must make.|REGULAR                       |site_4|32|43|49|40|0|
 Bad cards must make.|TWO DAY                       |site_0|37|41|31|39|0|
 Bad cards must make.|TWO DAY                       |site_1|50|41|48|28|0|
 Bad cards must make.|TWO DAY                       |site_2|31|37|41|40|0|
 Bad cards must make.|TWO DAY                       |site_3|25|22|32|32|0|
 Bad cards must make.|TWO DAY                       |site_4|32|25|32|28|0|
 Conventional childr|EXPRESS                       |site_0|55|48|66|39|0|
 Conventional childr|EXPRESS                       |site_1|37|44|46|59|0|
 Conventional childr|EXPRESS                       |site_2|43|38|40|45|0|
 Conventional childr|EXPRESS                       |site_3|48|47|52|48|0|
 Conventional childr|EXPRESS                       |site_4|47|56|38|55|0|
 Conventional childr|LIBRARY                       |site_0|43|30|42|47|0|
 Conventional childr|LIBRARY                       |site_1|39|37|45|40|0|
 Conventional childr|LIBRARY                       |site_2|29|32|38|35|0|
 Conventional childr|LIBRARY                       |site_3|31|35|29|35|0|
 Conventional childr|LIBRARY                       |site_4|32|34|30|29|0|
