S_STORE_NAME|I_ITEM_DESC|REVENUE|I_CURRENT_PRICE|I_WHOLESALE_COST|I_BRAND|
 able|Above rough shares open then sufficient subjects. Short women must confront on a words. Final, other efforts should make st|4.18|3.71|3|amalgexporti #1                                   |
 able|Absolute ears shall expect hence important workers. Locations ought to infer even to the governors; wonderful results fashion; real, democratic |3.77|6.08|3.58|amalgamalg #2                                     |
 able|Accidents pick about the windows. Injuries understand in a parties. Sexual glasses must recover now. Major roles shall lose boxes. Again true courses mak|1.54|9.49|3.79|importoimporto #2                                 |
 able|Activities cover |4.38|4.99|3.54|edu packedu pack #1                               |
 able|Added, similar grounds spend also concrete terms. Fellow, mass|.59|2.27|.7|amalgimporto #1                                   |
 able|Advisers get patients. Busy regulations|2.66|6.34|2.47|exportiexporti #1                                 |
 able|Ago foreign writings leave; even considerable artists let fully then minimal workers. Clear ministers keep. Specifically dry men increase central tests. Living, alternative meanings ought|.58|9.33|6.99|edu packscholar #1                                |
 able|Ago proposed hours accelerate. Urban stones used to find recent, interested delegates. Eyes rise. Always red leaders shall not put. |.09|3.2|2.65|amalgexporti #1                                   |
 able|Ago senior attacks put however significant regions; hotels produce also. Here appropriate men could watch extremely kindly useful affair|.46|3.15|1.44|maxinameless #1                                   |
 able|Almost comprehensive cases know unfortunately hard courses; there determined rules shall make even hard, close years. Existing, red sentences name. Experts help slowly players. |0|78.89|37.86|edu packnameless #9                               |
 able|Almost possible attempts ought to check very difficult ways. Legs used to arrange almost outsid|3.92|88.12|71.37|exportischolar #1                                 |
 able|Already necessary buildings will not |2.62|.9|.34|exportibrand #7                                   |
 able|Also great policies should insert to the minutes. Old, spectacular examples get once again green days. Sales use around with the|1.04|4.9|1.76|importoexporti #2                                 |
 able|Also real details used to travel for the articles. A bit anonymous factors aim there early, clean standards. Normal grounds weaken in a times; significant wheels cannot help black studies. Right l|.99|5.29|2.22|exportiexporti #1                                 |
 able|Also white pounds ought to join loc|1.08|.79|.7|edu packbrand #3                                  |
 able|Always black matters say together on the explanations. Central problems get. Intervals favour severely disastrous reserves. Talks must retain scottish, fundamental years; other, fine |2.45|7.19|3.3|maximaxi #8                                       |
 able|American, |2.96|1.06|.58|edu packedu pack #1                               |
 able|Annual, intact wages get all. Tr|2.98|2.79|1.59|importoimporto #1                                 |
 able|Apparent, beneficial years should pay hard arrangements. Impatiently positive cities take undoubtedly so noble centuries; old ideas must afford early drivers. Li|3.25|2.47|1.4|univbrand #4                                      |
 able|As administ|3.19|8.83|3.97|amalgimporto #1                                   |
