I_CATEGORY|I_CLASS|I_BRAND|I_PRODUCT_NAME|D_YEAR|D_QOY|D_MOY|S_STORE_ID|SUMSALES|RK|
 Books                                             |arts                                              |amalgmaxi #12                                     ||||||57150.87|35|
 Books                                             |arts                                              |amalgmaxi #2                                      ||||||24391.01|100|
 Books                                             |arts                                              |amalgmaxi #3                                      ||||||26447.99|88|
 Books                                             |arts                                              |amalgmaxi #8                                      ||||||57756.37|34|
 Books                                             |arts                                              |amalgmaxi #9                                      ||||||31758.96|75|
 Books                                             |arts                                              |||||||206542.68|14|
 Books                                             |business                                          |importomaxi #12                                   ||||||31118.71|77|
 Books                                             |business                                          |importomaxi #2                                    ||||||36226.95|69|
 Books                                             |business                                          |importomaxi #3                                    ||||||27454.69|86|
 Books                                             |business                                          |importomaxi #8                                    ||||||27584.02|85|
 Books                                             |business                                          |importomaxi #9                                    ||||||24527.25|98|
 Books                                             |business                                          |||||||163312.25|17|
 Books                                             |computers                                         |exportimaxi #12                                   ||||||52072.8|48|
 Books                                             |computers                                         |exportimaxi #2                                    ||||||53129.81|44|
 Books                                             |computers                                         |exportimaxi #3                                    ||||||39528.12|62|
 Books                                             |computers                                         |exportimaxi #6                                    ||||||47543.54|55|
 Books                                             |computers                                         |exportimaxi #9                                    ||||||29797.86|79|
 Books                                             |computers                                         |||||||238822.34|10|
 Books                                             |cooking                                           |amalgunivamalg #12                                ||||||48138.6|54|
 Books                                             |cooking                                           |amalgunivamalg #2                                 ||||||33615.63|74|
 Books                                             |cooking                                           |amalgunivamalg #3                                 ||||||79390.98|21|
 Books                                             |cooking                                           |amalgunivamalg #8                                 ||||||26947.47|87|
 Books                                             |cooking                                           |amalgunivamalg #9                                 ||||||29645.95|80|
 Books                                             |cooking                                           |||||||237183.4|12|
 Books                                             |entertainments                                    |edu packmaxi #12                                  ||||||26432.82|89|
 Books                                             |entertainments                                    |edu packmaxi #2                                   ||||||55240.44|37|
 Books                                             |entertainments                                    |edu packmaxi #3                                   ||||||52720.87|45|
 Books                                             |entertainments                                    |edu packmaxi #6                                   ||||||46215.01|57|
 Books                                             |entertainments                                    |edu packmaxi #8                                   ||||||35463.63|70|
 Books                                             |entertainments                                    |edu packmaxi #9                                   ||||||25760.7|93|
 Books                                             |entertainments                                    |||||||245970.73|6|
 Books                                             |fiction                                           |scholarunivamalg #12                              ||||||24483.26|99|
 Books                                             |fiction                                           |scholarunivamalg #2                               ||||||88769.17|19|
 Books                                             |fiction                                           |scholarunivamalg #6                               ||||||67605.12|26|
 Books                                             |fiction                                           |scholarunivamalg #8                               ||||||56981.36|36|
 Books                                             |fiction                                           |scholarunivamalg #9                               ||||||53324.85|43|
 Books                                             |fiction                                           |||||||313037.88|4|
 Books                                             |history                                           |scholarmaxi #12                                   ||||||52531.49|47|
 Books                                             |history                                           |scholarmaxi #2                                    ||||||55154.38|38|
 Books                                             |history                                           |scholarmaxi #3                                    |barn stableantiought                              |2000||||25601.33|95|
 Books                                             |history                                           |scholarmaxi #3                                    |barn stableantiought                              |||||25601.33|95|
 Books                                             |history                                           |scholarmaxi #3                                    ||||||74641.1|23|
 Books                                             |history                                           |scholarmaxi #6                                    ||||||46879.56|56|
 Books                                             |history                                           |scholarmaxi #8                                    ||||||55107.62|40|
 Books                                             |history                                           |scholarmaxi #9                                    ||||||80650.67|20|
 Books                                             |history                                           |||||||364964.82|2|
 Books                                             |home repair                                       |importounivamalg #2                               ||||||63081.27|30|
 Books                                             |home repair                                       |importounivamalg #3                               ||||||26362.04|91|
 Books                                             |home repair                                       |importounivamalg #6                               ||||||31305.49|76|
 Books                                             |home repair                                       |importounivamalg #8                               ||||||54984.64|41|
 Books                                             |home repair                                       |importounivamalg #9                               ||||||36754.64|66|
