BRAND_ID|BRAND|T_HOUR|T_MINUTE|EXT_PRICE|
 2003002|exportiimporto #2                                 |6|53|10190.88|
 6008007|namelesscorp #7                                   |18|47|6953.36|
 2004002|edu packimporto #2                                |19|14|5588.47|
 7016001|corpnameless #1                                   |17|32|5382.09|
 6015006|scholarbrand #6                                   |19|58|5080.6|
 5002001|importoscholar #1                                 |18|32|4324.52|
 2001002|amalgimporto #2                                   |19|9|4114.47|
 5003001|exportischolar #1                                 |9|28|4064.76|
 10012017|importoamalgamalg #17                             |8|53|4045|
 8004003|edu packnameless #3                               |18|44|3232.48|
 2004001|edu packimporto #1                                |19|4|3051.4|
 8005005|scholarnameless #5                                |6|50|2972.97|
 2001002|amalgimporto #2                                   |19|47|2894.46|
 1002001|importoamalg #1                                   |19|14|2513.3|
 4001001|amalgedu pack #1                                  |19|9|2512|
 6016003|corpbrand #3                                      |19|19|2421.65|
 5003002|exportischolar #2                                 |9|47|2134.44|
 4001002|amalgedu pack #2                                  |19|19|2018.4|
 7008009|namelessbrand #9                                  |17|52|1940.75|
 5003001|exportischolar #1                                 |17|59|1466.25|
 1004001|edu packamalg #1                                  |19|26|1439.04|
 1002002|importoamalg #2                                   |18|27|1343.93|
 10012011|importoamalgamalg #11                             |17|31|1173.28|
 9015009|scholarunivamalg #9                               |18|18|1124.16|
 6006007|corpcorp #7                                       |19|54|1055.43|
 8002009|importonameless #9                                |9|23|983.4|
 5001001|amalgscholar #1                                   |18|23|909.48|
 1002001|importoamalg #1                                   |17|32|876.3|
 5003002|exportischolar #2                                 |19|10|790.72|
 3002001|importoexporti #1                                 |9|41|755.15|
 1002001|importoamalg #1                                   |19|46|583.47|
 6015006|scholarbrand #6                                   |19|50|548.68|
 3002002|importoexporti #2                                 |8|35|421.26|
 1002002|importoamalg #2                                   |17|33|416.67|
 9016003|corpunivamalg #3                                  |9|42|353.6|
 8011009|amalgmaxi #9                                      |19|26|328.35|
 7012003|importonameless #3                                |9|2|258.24|
 1004002|edu packamalg #2                                  |19|9|242.25|
 6008005|namelesscorp #5                                   |18|51|216.69|
 6015006|scholarbrand #6                                   |19|26|211.85|
 3003001|exportiexporti #1                                 |9|6|151.92|
 3002001|importoexporti #1                                 |17|1|108.45|
 2002001|importoimporto #1                                 |17|0|86.1|
 1004002|edu packamalg #2                                  |7|41|81.59|
 7004007|edu packbrand #7                                  |17|8|53.2|
 8014005|edu packmaxi #5                                   |18|14|37.8|
 5004001|edu packscholar #1                                |18|27|31.02|
 3003001|exportiexporti #1                                 |19|20|13.26|
 6012008|importobrand #8                                   |9|0|0|
