PREV_YEAR|YEAR|I_BRAND_ID|I_CLASS_ID|I_CATEGORY_ID|I_MANUFACT_ID|PREV_YR_CNT|CURR_YR_CNT|SALES_CNT_DIFF|SALES_AMT_DIFF|
 2001|2002|5002001|2|9|325|621|95|-526|-20990.79|
 2001|2002|9008002|8|9|252|544|42|-502|-11983|
 2001|2002|4004001|4|9|435|563|85|-478|-12378.9|
 2001|2002|9015002|15|9|224|638|187|-451|-20985.18|
 2001|2002|9005008|5|9|721|507|62|-445|-12369.01|
 2001|2002|9007008|7|9|340|535|100|-435|-15764.33|
 2001|2002|9006010|6|9|373|547|142|-405|-16533.18|
 2001|2002|9005002|5|9|35|468|99|-369|-11916.07|
 2001|2002|9012002|12|9|521|632|266|-366|-23522.73|
 2001|2002|7004007|2|9|248|534|170|-364|-35897.82|
 2001|2002|6008003|2|9|93|445|93|-352|-10460.04|
 2001|2002|9003008|3|9|261|426|83|-343|-5412.78|
 2001|2002|9008002|8|9|196|594|256|-338|-5352.24|
 2001|2002|9003002|3|9|26|387|53|-334|-5865.85|
 2001|2002|9007004|9|9|184|405|78|-327|-7402.87|
 2001|2002|7004003|10|9|274|508|189|-319|-22181.3|
 2001|2002|9011008|11|9|166|361|49|-312|-35614.01|
 2001|2002|9004008|4|9|256|323|14|-309|-23215.5|
 2001|2002|9014008|14|9|187|391|82|-309|-5445.08|
 2001|2002|9001002|1|9|571|470|163|-307|-14392.15|
 2001|2002|9012008|12|9|377|469|163|-306|-5178.27|
 2001|2002|9001002|1|9|812|463|158|-305|-6253.67|
 2001|2002|9006002|6|9|555|394|100|-294|-17419.72|
 2001|2002|9010008|10|9|301|383|93|-290|-1538.87|
 2001|2002|9010008|10|9|9|294|5|-289|-6203.41|
 2001|2002|9012008|12|9|322|571|284|-287|-19983.44|
 2001|2002|9016004|1|9|256|333|49|-284|-3261.54|
 2001|2002|9014008|14|9|904|492|211|-281|444.84|
 2001|2002|9013004|5|9|184|385|111|-274|-12894.01|
 2001|2002|9015002|15|9|725|454|180|-274|-15318.43|
 2001|2002|9015002|15|9|313|457|188|-269|-610.59|
 2001|2002|9006008|6|9|617|352|84|-268|-8427.49|
 2001|2002|7013001|13|9|48|380|116|-264|-8325.06|
 2001|2002|9010008|10|9|621|614|356|-258|6136.93|
 2001|2002|9012008|12|9|583|270|12|-258|-20487.73|
 2001|2002|5002001|2|9|189|500|247|-253|-11789.32|
 2001|2002|5001001|10|9|136|441|189|-252|-17562.29|
 2001|2002|9014008|14|9|98|532|281|-251|-4031.67|
 2001|2002|9012008|12|9|244|469|220|-249|-8400.17|
 2001|2002|3002001|8|9|357|642|394|-248|-11392.88|
 2001|2002|9008008|8|9|283|336|88|-248|-7574.12|
 2001|2002|9004010|12|9|773|379|132|-247|-2896.83|
 2001|2002|9007008|7|9|152|446|199|-247|-2669.86|
 2001|2002|9008004|8|9|968|330|87|-243|-19136.73|
 2001|2002|8013001|13|9|17|270|33|-237|546.46|
 2001|2002|9011008|11|9|451|365|128|-237|-7268.69|
 2001|2002|9012004|8|9|306|253|16|-237|-16775.95|
 2001|2002|9004008|4|9|379|261|26|-235|-17160.01|
 2001|2002|9016008|16|9|243|374|139|-235|-17761.03|
 2001|2002|9014008|14|9|313|474|241|-233|-31020.16|
 2001|2002|9004004|4|9|202|410|180|-230|-1367.89|
 2001|2002|9007003|14|9|590|357|129|-228|-15804.09|
 2001|2002|9014010|2|9|727|318|90|-228|-2141.71|
 2001|2002|7008007|8|9|630|336|109|-227|6254.5|
 2001|2002|9001002|1|9|519|249|24|-225|-3164.7|
 2001|2002|9001008|1|9|538|423|198|-225|-5715.83|
 2001|2002|9003002|3|9|314|584|360|-224|-10130.44|
 2001|2002|9013008|13|9|677|366|143|-223|-5939.41|
