CHANNEL|COL_NAME|D_YEAR|D_QOY|I_CATEGORY|SALES_CNT|SALES_AMT|
 catalog||1998|1|Books                                             |14|24660.12|
 catalog||1998|1|Children                                          |5|5064.75|
 catalog||1998|1|Electronics                                       |13|31709.8|
 catalog||1998|1|Home                                              |12|11651.18|
 catalog||1998|1|Jewelry                                           |13|13102.23|
 catalog||1998|1|Men                                               |11|17458.37|
 catalog||1998|1|Music                                             |13|6741.65|
 catalog||1998|1|Shoes                                             |9|24531.24|
 catalog||1998|1|Sports                                            |9|19244.5|
 catalog||1998|1|Women                                             |13|24864.5|
 catalog||1998|2|Books                                             |14|16581.16|
 catalog||1998|2|Children                                          |12|26195.71|
 catalog||1998|2|Electronics                                       |9|7133.74|
 catalog||1998|2|Home                                              |15|44228.54|
 catalog||1998|2|Jewelry                                           |11|6804.54|
 catalog||1998|2|Men                                               |11|11700.11|
 catalog||1998|2|Music                                             |10|32062.82|
 catalog||1998|2|Shoes                                             |7|4682.58|
 catalog||1998|2|Sports                                            |7|5470.29|
 catalog||1998|2|Women                                             |5|14928.09|
 catalog||1998|2||1|1535.61|
 catalog||1998|3|Books                                             |9|5679.47|
 catalog||1998|3|Children                                          |10|14321.22|
 catalog||1998|3|Electronics                                       |6|7561.68|
 catalog||1998|3|Home                                              |12|20735.66|
 catalog||1998|3|Jewelry                                           |7||
 catalog||1998|3|Men                                               |8|17752.04|
 catalog||1998|3|Music                                             |13|25359.77|
 catalog||1998|3|Shoes                                             |7|27050.12|
 catalog||1998|3|Sports                                            |14|25865.48|
 catalog||1998|3|Women                                             |13|20126.47|
 store||1998|1|Books                                             |9|2160.87|
 store||1998|1|Children                                          |10|13208.55|
 store||1998|1|Electronics                                       |12|12678.3|
 store||1998|1|Home                                              |8|5656.54|
 store||1998|1|Jewelry                                           |8|2970.86|
 store||1998|1|Men                                               |8|5595.14|
 store||1998|1|Music                                             |5|5342.1|
 store||1998|1|Shoes                                             |11|2339.33|
 store||1998|1|Sports                                            |8|5987.72|
 store||1998|1|Women                                             |11|6637.62|
 store||1998|2|Books                                             |5|2321.78|
 store||1998|2|Children                                          |5|952.32|
 store||1998|2|Electronics                                       |7|10489.92|
 store||1998|2|Home                                              |7|2196.45|
 store||1998|2|Jewelry                                           |11|10488.03|
 store||1998|2|Men                                               |15|12626.22|
 store||1998|2|Music                                             |15|15104.39|
 store||1998|2|Shoes                                             |8|5459.44|
 store||1998|2|Sports                                            |8|8726.09|
 store||1998|2|Women                                             |9|16936.55|
 store||1998|2||1||
 store||1998|3|Books                                             |15|6923.08|
 store||1998|3|Children                                          |7|11064.24|
 store||1998|3|Electronics                                       |15|16747.93|
 store||1998|3|Home                                              |18|16831.46|
 store||1998|3|Jewelry                                           |6|5550.7|
 store||1998|3|Men                                               |13|12894.83|
 store||1998|3|Music                                             |14|25293.06|
 store||1998|3|Shoes                                             |22|20768.88|
 store||1998|3|Sports                                            |12|16824.14|
 store||1998|3|Women                                             |15|15825.93|
 store||1998|4|Books                                             |21|24668.66|
 store||1998|4|Children                                          |24|16782.97|
 store||1998|4|Electronics                                       |23|5310.7|
 store||1998|4|Home                                              |30|23739.39|
 store||1998|4|Jewelry                                           |17|12485.58|
 store||1998|4|Men                                               |29|28231.52|
 store||1998|4|Music                                             |23|21285.34|
 store||1998|4|Shoes                                             |25|10127.27|
 store||1998|4|Sports                                            |19|20850.39|
 store||1998|4|Women                                             |28|45272|
 store||1999|1|Books                                             |9|7319.95|
 store||1999|1|Children                                          |5|5345.28|
 store||1999|1|Electronics                                       |6|1417.58|
 store||1999|1|Home                                              |7|13065.04|
 store||1999|1|Jewelry                                           |11|12129.6|
 store||1999|1|Men                                               |5|2534.67|
 store||1999|1|Music                                             |17|11000.54|
 store||1999|1|Shoes                                             |4|4701.76|
 store||1999|1|Sports                                            |8|4038.26|
 store||1999|1|Women                                             |7|7106.4|
 store||1999|2|Books                                             |6|5067.66|
 store||1999|2|Children                                          |9|4559.69|
 store||1999|2|Electronics                                       |8|1379.04|
 store||1999|2|Home                                              |8|7669.33|
 store||1999|2|Jewelry                                           |8|2897.8|
 store||1999|2|Men                                               |4|100.87|
 store||1999|2|Music                                             |6|3715.92|
 store||1999|2|Shoes                                             |10|13503.37|
 store||1999|2|Sports                                            |8|6128.42|
 store||1999|2|Women                                             |8|9125.71|
 store||1999|3|Books                                             |12|16106.34|
 store||1999|3|Children                                          |13|5158.65|
 store||1999|3|Electronics                                       |16|6243.58|
 store||1999|3|Home                                              |15|11948.05|
 store||1999|3|Jewelry                                           |13|11141.86|
 store||1999|3|Men                                               |14|2154.17|
 store||1999|3|Music                                             |14|2764|
 store||1999|3|Shoes                                             |14|5624.3|
