ITEM_ID|SR_ITEM_QTY|SR_DEV|CR_ITEM_QTY|CR_DEV|WR_ITEM_QTY|WR_DEV|AVERAGE|
 AAAAAAAAANECAAAA|34|1.85792349726775956284153005464480874317E01|9|4.91803278688524590163934426229508196721E00|18|9.83606557377049180327868852459016393443E00|2.03333333333333333333333333333333333333E01|
 AAAAAAAACAOBAAAA|27|1.16883116883116883116883116883116883117E01|38|1.64502164502164502164502164502164502165E01|12|5.19480519480519480519480519480519480519E00|2.56666666666666666666666666666666666667E01|
 AAAAAAAACBNDAAAA|38|1.16207951070336391437308868501529051988E01|52|1.59021406727828746177370030581039755352E01|19|5.81039755351681957186544342507645259939E00|3.63333333333333333333333333333333333333E01|
 AAAAAAAACCGAAAAA|30|1.51515151515151515151515151515151515152E01|18|9.09090909090909090909090909090909090909E00|18|9.09090909090909090909090909090909090909E00|22|
 AAAAAAAACOIBAAAA|31|8.07291666666666666666666666666666666667E00|29|7.55208333333333333333333333333333333333E00|68|1.77083333333333333333333333333333333333E01|4.26666666666666666666666666666666666667E01|
 AAAAAAAAHAGDAAAA|15|7.93650793650793650793650793650793650794E00|15|7.93650793650793650793650793650793650794E00|33|1.74603174603174603174603174603174603175E01|21|
 AAAAAAAAMBDEAAAA|26|6.37254901960784313725490196078431372549E00|66|1.61764705882352941176470588235294117647E01|44|1.07843137254901960784313725490196078431E01|4.53333333333333333333333333333333333333E01|
 AAAAAAAAMBGBAAAA|5|5.05050505050505050505050505050505050505E00|1|1.01010101010101010101010101010101010101E00|27|2.72727272727272727272727272727272727273E01|11|
 AAAAAAAAMDODAAAA|17|1.08974358974358974358974358974358974359E01|32|2.05128205128205128205128205128205128205E01|3|1.92307692307692307692307692307692307692E00|1.73333333333333333333333333333333333333E01|
 AAAAAAAAMOIAAAAA|84|2.54545454545454545454545454545454545455E01|12|3.63636363636363636363636363636363636364E00|14|4.24242424242424242424242424242424242424E00|3.66666666666666666666666666666666666667E01|
 AAAAAAAAODOAAAAA|5|4.38596491228070175438596491228070175439E00|3|2.63157894736842105263157894736842105263E00|30|2.63157894736842105263157894736842105263E01|1.26666666666666666666666666666666666667E01|
 AAAAAAAAPJOCAAAA|29|1.53439153439153439153439153439153439153E01|21|1.11111111111111111111111111111111111111E01|13|6.87830687830687830687830687830687830688E00|21|
