I_CATEGORY|I_CLASS|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_MOY|SUM_SALES|AVG_MONTHLY_SALES|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|3|15.17|2.56254166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|5|2.14|2.42813636363636363636363636363636363636E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|1|20.41|2.56254166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|2|33.78|268.4525|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|5|15.95|2.48068181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|5|7.43|212.5175|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|2|53.49|2.56254166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|3|48.09|2.42813636363636363636363636363636363636E02|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|1|73.8|268.4525|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|2|2.38|1.81118181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|7|2.71|1.81118181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|2|73.17|2.48068181818181818181818181818181818182E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|5|33.3|2.06893333333333333333333333333333333333E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|6|27.95|1.98074166666666666666666666666666666667E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|1|43.03|212.5175|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|3|39.1|204.6975|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|6|44.81|204.6975|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|5|17.4|1.77066666666666666666666666666666666667E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|3|93.92|2.48068181818181818181818181818181818182E02|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|5|115.28|268.4525|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|7|86|2.38488181818181818181818181818181818182E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|10|87.36|2.38488181818181818181818181818181818182E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|2|87.64|2.38488181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|10|65.65|212.5175|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|5|52.13|1.98074166666666666666666666666666666667E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |eing|Unknown|3|5.3|1.50325454545454545454545454545454545455E02|
 Electronics                                       |stereo                                            |exportiamalgamalg #16                             |bar|Unknown|12|25.21|169.32|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|11|127.24|268.4525|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|11|104.96|2.42813636363636363636363636363636363636E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|7|70.53|2.06893333333333333333333333333333333333E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|6|14.31|1.50652727272727272727272727272727272727E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|10|47.15|1.81118181818181818181818181818181818182E02|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|2|70.86|204.6975|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|3|65.08|1.98074166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|6|73.91|2.06893333333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|4|123.68|2.56254166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|5|125.14|2.56254166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|4|107.94|2.38488181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |bar|Unknown|4|21.8|1.50652727272727272727272727272727272727E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|2|73.17|1.98074166666666666666666666666666666667E02|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|6|144.19|268.4525|
 Women                                             |dresses                                           |amalgamalg #2                                     |ation|Unknown|5|0|1.20564444444444444444444444444444444444E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|3|6.09|1.26279090909090909090909090909090909091E02|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|5|84.87|204.6975|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|4|84.91|204.6975|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|1|128.37|2.48068181818181818181818181818181818182E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|7|80.73|1.98074166666666666666666666666666666667E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|7|15.61|1.32685833333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ese|Unknown|9|11.62|1.26279090909090909090909090909090909091E02|
 Men                                               |shirts                                            |importoimporto #2                                 |bar|Unknown|8|2.59|1.15707272727272727272727272727272727273E02|
 Women                                             |dresses                                           |amalgamalg #2                                     |ation|Unknown|2|8.1|1.20564444444444444444444444444444444444E02|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|6|56.72|168.77|
 Women                                             |dresses                                           |amalgamalg #2                                     |ese|Unknown|1|21.14|1.32685833333333333333333333333333333333E02|
 Men                                               |shirts                                            |importoimporto #2                                 |ought|Unknown|10|2.97|114.106|
