SS_CUSTOMER_SK|SUMSALES|
 620|0|
 11491|0|
 24284|0|
 30699|0|
 34028|0|
 51918|0|
 55165|0|
 65156|0|
 74705|0|
 83403|0|
 89465|0|
 92575|0|
 10204|.94|
 51846|1.54|
 40198|1.91|
 81463|3.05|
 99637|3.16|
 46006|4.86|
 67814|5.44|
 85718|6.56|
 85114|7.24|
 95936|7.8|
 33818|8.01|
 75087|8.96|
 95414|9.09|
 2028|13.52|
 65788|14.07|
 87713|15.6|
 38363|18.97|
 85242|21.04|
 81557|22.89|
 27876|24.6|
 89191|24.96|
 6099|25.42|
 93856|25.84|
 66091|30.69|
 72143|30.91|
 42572|36.74|
 80092|36.95|
 15257|39.06|
 20139|40.96|
 3453|41.56|
 91848|42.6|
 84613|43.23|
 16904|44.75|
 52082|45.36|
 90950|52.78|
 81939|53.81|
 54184|53.94|
 48358|54.99|
 71589|57.4|
 6054|58.24|
 66258|58.68|
 89571|59.28|
 31026|60|
 95434|61.84|
 34300|62.06|
 68647|62.66|
 11650|63|
 12761|64.05|
 14932|65.74|
 2761|66.08|
 95634|68.09|
 64849|68.16|
 58054|68.54|
 91303|69.75|
 37861|72.75|
 60073|73.31|
 36533|74.64|
 50009|75.44|
 68487|76.54|
 69187|80.5|
 78049|80.82|
 52391|83.79|
 14440|84.12|
 97539|85.25|
 81864|86.4|
 51881|88.06|
 3496|99.75|
 56715|101.99|
 57091|101.99|
 98754|102.88|
 48564|104.28|
 30937|107.4|
 83633|108.1|
 38627|112.49|
 56532|114.94|
 4727|117.39|
 65891|121.29|
 88872|122.6|
 36695|127.65|
 11483|127.71|
 64291|131.13|
 91712|136.62|
 44336|137.73|
 25987|145.26|
 12679|145.8|
 42855|151|
 38277|152.46|
 33628|154.44|
