I_PRODUCT_NAME|I_BRAND|I_CLASS|I_CATEGORY|QOH|
 ationbarn station                                 |amalgbrand #8                                     |bathroom                                          |Home                                              |4.30357723577235772357723577235772357724E02|
 ationbarn station                                 |amalgbrand #8                                     |bathroom                                          ||4.30357723577235772357723577235772357724E02|
 ationbarn station                                 |amalgbrand #8                                     |||4.30357723577235772357723577235772357724E02|
 ationbarn station                                 ||||4.30357723577235772357723577235772357724E02|
 ationoughtn stn st                                |edu packimporto #2                                |sports-apparel                                    |Men                                               |4.35265060240963855421686746987951807229E02|
 ationoughtn stn st                                |edu packimporto #2                                |sports-apparel                                    ||4.35265060240963855421686746987951807229E02|
 ationoughtn stn st                                |edu packimporto #2                                |||4.35265060240963855421686746987951807229E02|
 ationoughtn stn st                                ||||4.35265060240963855421686746987951807229E02|
 ationationprin st                                 |amalgexporti #2                                   |newborn                                           |Children                                          |4.35510288065843621399176954732510288066E02|
 ationationprin st                                 |amalgexporti #2                                   |newborn                                           ||4.35510288065843621399176954732510288066E02|
 ationationprin st                                 |amalgexporti #2                                   |||4.35510288065843621399176954732510288066E02|
 ationationprin st                                 ||||4.35510288065843621399176954732510288066E02|
 oughtcallyn stantiought                           |corpcorp #2                                       |rings                                             |Jewelry                                           |4.36494023904382470119521912350597609562E02|
 oughtcallyn stantiought                           |corpcorp #2                                       |rings                                             ||4.36494023904382470119521912350597609562E02|
 oughtcallyn stantiought                           |corpcorp #2                                       |||4.36494023904382470119521912350597609562E02|
 oughtcallyn stantiought                           ||||4.36494023904382470119521912350597609562E02|
 callyesebaration                                  |namelesscorp #7                                   |mens watch                                        |Jewelry                                           |4.37394308943089430894308943089430894309E02|
 callyesebaration                                  |namelesscorp #7                                   |mens watch                                        ||4.37394308943089430894308943089430894309E02|
 callyesebaration                                  |namelesscorp #7                                   |||4.37394308943089430894308943089430894309E02|
 callyesebaration                                  ||||4.37394308943089430894308943089430894309E02|
 n stprieingationought                             |namelesscorp #8                                   |mens watch                                        |Jewelry                                           |4.39064777327935222672064777327935222672E02|
 n stprieingationought                             |namelesscorp #8                                   |mens watch                                        ||4.39064777327935222672064777327935222672E02|
 n stprieingationought                             |namelesscorp #8                                   |||4.39064777327935222672064777327935222672E02|
 n stprieingationought                             ||||4.39064777327935222672064777327935222672E02|
 priationn stn st                                  |importoscholar #2                                 |country                                           |Music                                             |439.096|
 priationn stn st                                  |importoscholar #2                                 |country                                           ||439.096|
 priationn stn st                                  |importoscholar #2                                 |||439.096|
 priationn stn st                                  ||||439.096|
 n stcallyableoughtought                           |amalgimporto #2                                   |accessories                                       |Men                                               |4.39718367346938775510204081632653061224E02|
 n stcallyableoughtought                           |amalgimporto #2                                   |accessories                                       ||4.39718367346938775510204081632653061224E02|
 n stcallyableoughtought                           |amalgimporto #2                                   |||4.39718367346938775510204081632653061224E02|
 n stcallyableoughtought                           ||||4.39718367346938775510204081632653061224E02|
 n stbarought                                      |corpbrand #10                                     |rugs                                              |Home                                              |4.40314741035856573705179282868525896414E02|
 n stbarought                                      |corpbrand #10                                     |rugs                                              ||4.40314741035856573705179282868525896414E02|
 n stbarought                                      |corpbrand #10                                     |||4.40314741035856573705179282868525896414E02|
 n stbarought                                      ||||4.40314741035856573705179282868525896414E02|
 n stn stantioughtought                            |exportimaxi #8                                    |computers                                         |Books                                             |4.40928571428571428571428571428571428571E02|
 n stn stantioughtought                            |exportimaxi #8                                    |computers                                         ||4.40928571428571428571428571428571428571E02|
 n stn stantioughtought                            |exportimaxi #8                                    |||4.40928571428571428571428571428571428571E02|
 n stn stantioughtought                            ||||4.40928571428571428571428571428571428571E02|
 n stcallyesepriought                              |edu packscholar #2                                |classical                                         |Music                                             |4.41541832669322709163346613545816733068E02|
 n stcallyesepriought                              |edu packscholar #2                                |classical                                         ||4.41541832669322709163346613545816733068E02|
 n stcallyesepriought                              |edu packscholar #2                                |||4.41541832669322709163346613545816733068E02|
 n stcallyesepriought                              ||||4.41541832669322709163346613545816733068E02|
 priantiationation                                 |importoimporto #2                                 |shirts                                            |Men                                               |4.41670731707317073170731707317073170732E02|
 priantiationation                                 |importoimporto #2                                 |shirts                                            ||4.41670731707317073170731707317073170732E02|
 priantiationation                                 |importoimporto #2                                 |||4.41670731707317073170731707317073170732E02|
 priantiationation                                 ||||4.41670731707317073170731707317073170732E02|
 oughtbarantiese                                   |exportiedu pack #2                                |kids                                              |Shoes                                             |4.41745967741935483870967741935483870968E02|
 oughtbarantiese                                   |exportiedu pack #2                                |kids                                              ||4.41745967741935483870967741935483870968E02|
 oughtbarantiese                                   |exportiedu pack #2                                |||4.41745967741935483870967741935483870968E02|
 oughtbarantiese                                   ||||4.41745967741935483870967741935483870968E02|
 oughtbarprin st                                   |edu packscholar #2                                |classical                                         |Music                                             |4.42073469387755102040816326530612244898E02|
 oughtbarprin st                                   |edu packscholar #2                                |classical                                         ||4.42073469387755102040816326530612244898E02|
 oughtbarprin st                                   |edu packscholar #2                                |||4.42073469387755102040816326530612244898E02|
 oughtbarprin st                                   ||||4.42073469387755102040816326530612244898E02|
 ationeingation                                    |amalgexporti #2                                   |newborn                                           |Children                                          |4.43782258064516129032258064516129032258E02|
 ationeingation                                    |amalgexporti #2                                   |newborn                                           ||4.43782258064516129032258064516129032258E02|
 ationeingation                                    |amalgexporti #2                                   |||4.43782258064516129032258064516129032258E02|
 ationeingation                                    ||||4.43782258064516129032258064516129032258E02|
 ationbarn stableought                             |corpbrand #8                                      |rugs                                              |Home                                              |4.44092741935483870967741935483870967742E02|
 ationbarn stableought                             |corpbrand #8                                      |rugs                                              ||4.44092741935483870967741935483870967742E02|
 ationbarn stableought                             |corpbrand #8                                      |||4.44092741935483870967741935483870967742E02|
 ationbarn stableought                             ||||4.44092741935483870967741935483870967742E02|
 eseationcallyableought                            |importoexporti #1                                 |infants                                           |Children                                          |4.44544354838709677419354838709677419355E02|
 eseationcallyableought                            |importoexporti #1                                 |infants                                           ||4.44544354838709677419354838709677419355E02|
 eseationcallyableought                            |importoexporti #1                                 |||4.44544354838709677419354838709677419355E02|
 eseationcallyableought                            ||||4.44544354838709677419354838709677419355E02|
 eingableableationought                            |amalgimporto #1                                   |accessories                                       |Men                                               |4.44714285714285714285714285714285714286E02|
 eingableableationought                            |amalgimporto #1                                   |accessories                                       ||4.44714285714285714285714285714285714286E02|
 eingableableationought                            |amalgimporto #1                                   |||4.44714285714285714285714285714285714286E02|
 eingableableationought                            ||||4.44714285714285714285714285714285714286E02|
 n steseantiation                                  |univmaxi #10                                      |pools                                             |Sports                                            |4.45331967213114754098360655737704918033E02|
 n steseantiation                                  |univmaxi #10                                      |pools                                             ||4.45331967213114754098360655737704918033E02|
 n steseantiation                                  |univmaxi #10                                      |||4.45331967213114754098360655737704918033E02|
 n steseantiation                                  ||||4.45331967213114754098360655737704918033E02|
 antibareingantiought                              |importoimporto #2                                 |shirts                                            |Men                                               |4.45406504065040650406504065040650406504E02|
 antibareingantiought                              |importoimporto #2                                 |shirts                                            ||4.45406504065040650406504065040650406504E02|
 antibareingantiought                              |importoimporto #2                                 |||4.45406504065040650406504065040650406504E02|
 antibareingantiought                              ||||4.45406504065040650406504065040650406504E02|
 ationantibarationought                            |univmaxi #8                                       |pools                                             |Sports                                            |4.45419087136929460580912863070539419087E02|
 ationantibarationought                            |univmaxi #8                                       |pools                                             ||4.45419087136929460580912863070539419087E02|
 ationantibarationought                            |univmaxi #8                                       |||4.45419087136929460580912863070539419087E02|
 ationantibarationought                            ||||4.45419087136929460580912863070539419087E02|
 oughtpricallybarought                             |edu packexporti #2                                |school-uniforms                                   |Children                                          |4.4548594377510040160642570281124497992E02|
 oughtpricallybarought                             |edu packexporti #2                                |school-uniforms                                   ||4.4548594377510040160642570281124497992E02|
 oughtpricallybarought                             |edu packexporti #2                                |||4.4548594377510040160642570281124497992E02|
 oughtpricallybarought                             ||||4.4548594377510040160642570281124497992E02|
 ableationprieing                                  |amalgamalg #1                                     |dresses                                           |Women                                             |4.45995833333333333333333333333333333333E02|
 ableationprieing                                  |amalgamalg #1                                     |dresses                                           ||4.45995833333333333333333333333333333333E02|
 ableationprieing                                  |amalgamalg #1                                     |||4.45995833333333333333333333333333333333E02|
 ableationprieing                                  ||||4.45995833333333333333333333333333333333E02|
 pribarpribarought                                 |edu packimporto #2                                |sports-apparel                                    |Men                                               |4.46040816326530612244897959183673469388E02|
 pribarpribarought                                 |edu packimporto #2                                |sports-apparel                                    ||4.46040816326530612244897959183673469388E02|
 pribarpribarought                                 |edu packimporto #2                                |||4.46040816326530612244897959183673469388E02|
 pribarpribarought                                 ||||4.46040816326530612244897959183673469388E02|
 oughtn stprin st                                  |exportiamalgamalg #8                              |stereo                                            |Electronics                                       |4.47266666666666666666666666666666666667E02|
 oughtn stprin st                                  |exportiamalgamalg #8                              |stereo                                            ||4.47266666666666666666666666666666666667E02|
 oughtn stprin st                                  |exportiamalgamalg #8                              |||4.47266666666666666666666666666666666667E02|
 oughtn stprin st                                  ||||4.47266666666666666666666666666666666667E02|
