CA_COUNTY|D_YEAR|WEB_Q1_Q2_INCREASE|STORE_Q1_Q2_INCREASE|WEB_Q2_Q3_INCREASE|STORE_Q2_Q3_INCREASE|
 Atchison County|2000|8.00221222553233170004515233537912433138E-01|2.42964090501899428494780763316359037495E-01|1.19445603790314635522556491988571735645E01|3.16295390051170170762761365412000960211E00|
 Bacon County|2000|1.16882639439524736666440020858308538023E00|3.9403766524802860089544540820377152708E-01|9.68799546297475970045724154527823785054E-01|5.10743075979095698537968389649408628314E-01|
 Bourbon County|2000|1.91311509060926393907458825355075758989E00|9.81927929642619714642829015798030290607E-01|3.36480235006260707246864897582632864837E00|1.38012281034904128393102115161738896444E00|
 Boyd County|2000|1.08632395123137284457041241950924527777E00|8.1150651538925166541729858807216204707E-01|1.16897233718456018405720375437492377522E00|7.42057103989764017572739785876476280397E-01|
 Bradley County|2000|1.48963163619571691601261170964723352173E00|5.75784865485228056468626422892836259699E-01|1.34438973649360942363906741428424566938E00|9.98918771389284176613972751559995160526E-01|
 Buchanan County|2000|1.19566727137363387846736602342005074921E00|7.46048858837383393559094846806252134898E-01|3.33290427837514742060203919095251809673E00|2.23978773438142572525327693718084855472E00|
 Carter County|2000|3.95373858000429962455904151301624307838E00|1.15103299806721497935846651885286738016E00|2.1192846596920994578408079167830198411E00|1.84449113264660250005902620666546565855E00|
 Cass County|2000|2.39871955045681555702942502797342224216E00|1.19058197978290502997298512226563425115E00|2.25716916969997271358519387246112605864E00|8.47801015491151868394999534132892215438E-01|
 Corson County|2000|5.60309233425474977144885403975759188838E-01|1.75081015075484495988700486067176057246E-01|4.80740878627220555846574280566498102469E00|3.22714074515267865689579987449612320652E00|
 Crockett County|2000|1.63710645180620765280330823509406846027E00|3.60468061527426914174729883791361735825E-01|2.13404230057910706355442309620566849472E00|1.8324513293259952049668280112572736449E00|
 Culpeper County|2000|6.61751083786755413801907259414735907565E-01|6.19014439413437643101262479776104571174E-01|1.65924813480490638521240661907367672084E00|1.22416906368605971701249679268532805187E00|
