GROSS_MARGIN|I_CATEGORY|I_CLASS|LOCHIERARCHY|RANK_WITHIN_PARENT|
 -4.3462724506002262370120269420574895188E-01|||2|1|
 -4.4572554799116219144406373507558649968E-01|Electronics                                       ||1|1|
 -4.3905844420578105227597125493672737321E-01|Children                                          ||1|2|
 -4.3537480144353351810533843184343320592E-01|Home                                              ||1|3|
 -4.3513489629708125697981800167791728719E-01|Sports                                            ||1|4|
 -4.3478698928992011317990700304181378794E-01|Shoes                                             ||1|5|
 -4.3393697804808898646672312945170048535E-01|Men                                               ||1|6|
 -4.328141554316280475462217335077818751E-01|Books                                             ||1|7|
 -4.3278560834074678585194525072475963013E-01|Women                                             ||1|8|
 -4.2883926078775451741034628610412136207E-01|Jewelry                                           ||1|9|
 -4.2839677730714699934109830434468015177E-01|Music                                             ||1|10|
 -4.083640200805758265327143121261897262E-01|||1|11|
 -4.9313849125801216327380394582471528239E-01|Books                                             ||0|1|
 -4.5905963240510827926215123730443944797E-01|Books                                             |self-help                                         |0|2|
 -4.5361415486337503032061470531515211618E-01|Books                                             |romance                                           |0|3|
 -4.5309723975037373699916913486277427176E-01|Books                                             |parenting                                         |0|4|
 -4.5242850294146098802500034192903059095E-01|Books                                             |home repair                                       |0|5|
 -4.3981106600973008331847452136914172466E-01|Books                                             |arts                                              |0|6|
 -4.3771696562800042599341361346161202182E-01|Books                                             |computers                                         |0|7|
 -4.3617080023918784688480491984416278063E-01|Books                                             |entertainments                                    |0|8|
 -4.3351068602360130689316225092458916104E-01|Books                                             |business                                          |0|9|
 -4.29332478499904145911728417738487315E-01|Books                                             |cooking                                           |0|10|
 -4.2776698070726368847073227295416501023E-01|Books                                             |history                                           |0|11|
 -4.2695086400137496396126481082541800067E-01|Books                                             |sports                                            |0|12|
 -4.2522226098880617297037610023170310551E-01|Books                                             |fiction                                           |0|13|
 -4.2138982555517437186854770941727944414E-01|Books                                             |travel                                            |0|14|
 -4.1310850453072551484655981467371563251E-01|Books                                             |reference                                         |0|15|
 -4.0793159422928459856537417873129981566E-01|Books                                             |science                                           |0|16|
 -4.024526234637209966999151528752791204E-01|Books                                             |mystery                                           |0|17|
 -5.197287408254059373462358536985402657E-01|Children                                          ||0|1|
 -4.4395496111990127625484202363132088596E-01|Children                                          |infants                                           |0|2|
 -4.4116627613556820100817425541420663899E-01|Children                                          |toddlers                                          |0|3|
 -4.3938912464753373227756828507603891162E-01|Children                                          |newborn                                           |0|4|
 -4.3153443572803164723538494854982186614E-01|Children                                          |school-uniforms                                   |0|5|
 -4.8111115518133356446675534514833178044E-01|Electronics                                       |scanners                                          |0|1|
 -4.7476243999949568097952372050811497605E-01|Electronics                                       |wireless                                          |0|2|
 -4.6881366722199291834105693210062231852E-01|Electronics                                       |musical                                           |0|3|
 -4.5964361686942834850173205978083764709E-01|Electronics                                       |audio                                             |0|4|
 -4.5928545493036909637040934545443241689E-01|Electronics                                       |portable                                          |0|5|
 -4.5766868256713105910257596905270886767E-01|Electronics                                       |automotive                                        |0|6|
 -4.5059679325892113821987455253972817252E-01|Electronics                                       |personal                                          |0|7|
 -4.4658684174291725927879943896726286547E-01|Electronics                                       |karoke                                            |0|8|
 -4.4475849078129724088711649912232404974E-01|Electronics                                       |camcorders                                        |0|9|
 -4.4243449730184029928326171085819921805E-01|Electronics                                       |stereo                                            |0|10|
 -4.3563339425082642263284131723266181786E-01|Electronics                                       |monitors                                          |0|11|
 -4.3006222255725822329222996046414054723E-01|Electronics                                       |disk drives                                       |0|12|
 -4.2956478115982797322635475212424858281E-01|Electronics                                       |dvd/vcr players                                   |0|13|
 -4.277915741895282074229798619817239385E-01|Electronics                                       |televisions                                       |0|14|
 -4.2748482637369844881821571438934790451E-01|Electronics                                       |cameras                                           |0|15|
 -4.1789640560157945270978551688229209186E-01|Electronics                                       |memory                                            |0|16|
 -4.5820671158324357421822714381845559949E-01|Home                                              |wallpaper                                         |0|1|
 -4.5812351000722227210636511830292609788E-01|Home                                              |rugs                                              |0|2|
 -4.5390886610438835872042121021943095497E-01|Home                                              |blinds/shades                                     |0|3|
 -4.5080477272002672885986525229733015114E-01|Home                                              |tables                                            |0|4|
 -4.500058160895335937365867187780540972E-01|Home                                              |bedding                                           |0|5|
 -4.4442920947055918168540938166823048896E-01|Home                                              |paint                                             |0|6|
 -4.4290016028385165797427364139210681701E-01|Home                                              |kids                                              |0|7|
 -4.4195666541862319401093777304734191408E-01|Home                                              |decor                                             |0|8|
 -4.4027000033489061489240427520149844552E-01|Home                                              |curtains/drapes                                   |0|9|
 -4.367331430200292861128191543265828755E-01|Home                                              |accent                                            |0|10|
 -4.2960552582644072428928701441785540867E-01|Home                                              |glassware                                         |0|11|
 -4.2129274488855599876517145917058750531E-01|Home                                              |flatware                                          |0|12|
 -4.1960622296567551769463545055380217265E-01|Home                                              |mattresses                                        |0|13|
 -4.1679680505477792422923773855507607946E-01|Home                                              |furniture                                         |0|14|
 -4.1613781444454454985710965675552645364E-01|Home                                              |bathroom                                          |0|15|
 -3.974459837251844780621826884114035912E-01|Home                                              |lighting                                          |0|16|
 -2.7508678304500224335996330927456664913E-01|Home                                              ||0|17|
 -4.8202255658119515719385622191742869421E-01|Jewelry                                           |consignment                                       |0|1|
 -4.5292311445740197686031372244189676461E-01|Jewelry                                           |gold                                              |0|2|
 -4.4226642074734303189013087868070927666E-01|Jewelry                                           |womens watch                                      |0|3|
 -4.3895803630934707802083514880115508193E-01|Jewelry                                           |semi-precious                                     |0|4|
 -4.3752822100984156810612498941632338446E-01|Jewelry                                           ||0|5|
 -4.3569052857862351540879386078184561108E-01|Jewelry                                           |bracelets                                         |0|6|
 -4.3463136229782141649312666869973796091E-01|Jewelry                                           |birdal                                            |0|7|
 -4.3452651037695847067103490512277759427E-01|Jewelry                                           |loose stones                                      |0|8|
 -4.3340689540104111843080806856581777198E-01|Jewelry                                           |rings                                             |0|9|
 -4.3075457486338446117703677058792011314E-01|Jewelry                                           |estate                                            |0|10|
 -4.2973592140259967603195814175144920243E-01|Jewelry                                           |pendants                                          |0|11|
 -4.2207950104662553973308068078923606888E-01|Jewelry                                           |earings                                           |0|12|
 -4.1751153877909731108326230472834864884E-01|Jewelry                                           |costume                                           |0|13|
 -4.1260353474281855968839339800565970568E-01|Jewelry                                           |jewelry boxes                                     |0|14|
