W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|
 1|265|1|324.75|1.24383917815313548313866578853716834503E00|1|265|2|329|1.01515813281492079007224286239679804778E00|
 1|363|1|499.5|1.0319415722706489181069078990157255806E00|1|363|2|321|1.1411766752007977715503443048329309658E00|
 1|679|1|373.75|1.09554980648675042484147315223361316371E00|1|679|2|417.5|1.04297099425945413801668525334841016418E00|
 1|695|1|450.75|1.08358882835645050620034930225594459103E00|1|695|2|368.75|1.13564941255694177227022071461028218247E00|
 1|789|1|357.25|1.0345093802795598386819018356360656655E00|1|789|2|410|1.02842218527026044608780699814315363088E00|
 1|815|1|216.5|1.17022709381110085151159922779432199191E00|1|815|2|150.5|1.30572814712493831801360738540540364117E00|
 1|827|1|271.75|1.10468901341304394653324932239791860159E00|1|827|2|424.75|1.16531986312382857702750327660435846188E00|
 1|1041|1|382.5|1.2848083998030079201531681873539087119E00|1|1041|2|424.75|1.00057727145681194715418661749249810098E00|
 1|1569|1|212|1.6302135196395352977393763557520923765E00|1|1569|2|239.25|1.26415132678005551667715251944245835003E00|
 1|1623|1|338.25|1.12854832797137128262168660250929668112E00|1|1623|2|2.61333333333333333333333333333333333333E02|1.2717809002195564134019641122641103386E00|
 1|2581|1|448.5|1.0604290412504489726496963803581592829E00|1|2581|2|476.25|1.03629847393900635613712715306461569459E00|
 1|2705|1|246.25|1.01203083579596915276189906021472123565E00|1|2705|2|2.94666666666666666666666666666666666667E02|1.07421341015837037661312572534008925691E00|
 1|3131|1|393.75|1.00376139826873446661129277261862280454E00|1|3131|2|480.5|1.06691449814827670174945299172948086052E00|
 1|3291|1|374.5|1.19518983308700823216484507666854323596E00|1|3291|2|265.25|1.57297210694846583204495387786228867618E00|
 1|3687|1|279.75|1.42609090819996976008993611400366628348E00|1|3687|2|157.25|1.45343408825317839103161774442857352055E00|
 1|4955|1|495.25|1.03182961516253023949005630133299054594E00|1|4955|2|322.5|1.1693842343776150029388967374285031736E00|
 1|5627|1|282.75|1.5657032366359888714005673694106794425E00|1|5627|2|297.5|1.20842868414306777056828153910388295614E00|
 1|7017|1|175.5|1.04274542156444289797046685364974118072E00|1|7017|2|3.21333333333333333333333333333333333333E02|1.01833569329362535710729387900665012584E00|
 1|7317|1|3.66333333333333333333333333333333333333E02|1.0254664036135469063577691545464421816E00|1|7317|2|378|1.21725131899205548092624372578969503359E00|
 1|7569|1|430.5|1.0874396852180854954195357000253688625E00|1|7569|2|360.25|1.04700555931451505805074482982744546147E00|
 1|7999|1|166.25|1.79242317108462246140477691089123952674E00|1|7999|2|3.75333333333333333333333333333333333333E02|1.00809226355071783827414770192856112481E00|
 1|8319|1|306.75|1.16153780404782137790740743975639263949E00|1|8319|2|276|1.14209963856094280653416592496632742593E00|
 1|8443|1|327.75|1.25671837419272392928878570511667031773E00|1|8443|2|332.5|1.00441672599889285717573553920062738482E00|
 1|8583|1|319.5|1.02410889311153887235881957147684546112E00|1|8583|2|310.25|1.23588137758613266233831236511124693095E00|
 1|8591|1|398|1.14781686920424473409739106222842908758E00|1|8591|2|355.75|1.00244721493489661241963351691859701263E00|
 1|8611|1|300.5|1.51915451841479514747094386742237617067E00|1|8611|2|243.75|1.23421227809604305771297184795847487678E00|
 1|9081|1|367|1.08789321412808945931488150062065739156E00|1|9081|2|435|1.03305307763241070054340626795540053127E00|
 1|9357|1|3.51666666666666666666666666666666666667E02|1.19029226220258873816114028066927921431E00|1|9357|2|427|1.04385830263583630672406591578257388717E00|
 1|9449|1|406.25|1.01831831048035568304764585499280157187E00|1|9449|2|175|1.05447797962964097347597433992693976474E00|
 1|9713|1|242.5|1.10350443550642022176204268504931744334E00|1|9713|2|393|1.20847460873898790355301798634679022981E00|
 1|9809|1|479|1.01896025121176339676278747824370231721E00|1|9809|2|317.5|1.06141420749248801473642003971353361973E00|
 1|9993|1|417.75|1.00998326724352484976100178572761401562E00|1|9993|2|204.5|1.55287074535010709925880783715531996515E00|
 1|10127|1|239.75|1.05617705871981228254541419521969338325E00|1|10127|2|359.25|1.18579804037421826977476099544568016747E00|
 1|11159|1|407.25|1.07855071543376371176858164972768211657E00|1|11159|2|250|1.33475790563932104648518087112874595276E00|
 1|11277|1|211.25|1.26158582753166269090964308701312936747E00|1|11277|2|330.75|1.08087679516250944822373393801965230537E00|
 1|11937|1|344.5|1.08580402684378415212785679986492058572E00|1|11937|2|2.00333333333333333333333333333333333333E02|1.06385270638837247167259316942306209774E00|
 1|12373|1|387.75|1.10149048229412590477833701973770021756E00|1|12373|2|306|1.07617443903940271350745455789817871022E00|
 1|12471|1|365.25|1.06075701837284781741395616999452954142E00|1|12471|2|327.25|1.05475605805678521338674704894132079239E00|
 1|12625|1|279|1.30165605423732090443107536381531790262E00|1|12625|2|443.25|1.06049588380689587914244837750545919041E00|
 1|12751|1|280.75|1.10833057888089006497562999535242031963E00|1|12751|2|3.69333333333333333333333333333333333333E02|1.34165043988845986637608413396698100806E00|
 1|12779|1|331|1.04169020732003480951518275366930719974E00|1|12779|2|359|1.02897805617525800479420312277614388695E00|
 1|13077|1|3.67666666666666666666666666666666666667E02|1.34552390419573425927439729363961426335E00|1|13077|2|3.58666666666666666666666666666666666667E02|1.51324290580965574406929359879834065524E00|
 1|13191|1|260.25|1.0635696322915681274310317983740432918E00|1|13191|2|405|1.01979991721800603089029868636919601407E00|
 1|13561|1|335.25|1.26096169617763881161131850292421079004E00|1|13561|2|240|1.05136045022451567216832676616620908568E00|
