W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|W_WAREHOUSE_SK|I_ITEM_SK|D_MOY|MEAN|COV|
 1|1569|1|212|1.6302135196395352977393763557520923765E00|1|1569|2|239.25|1.26415132678005551667715251944245835003E00|
 1|5627|1|282.75|1.5657032366359888714005673694106794425E00|1|5627|2|297.5|1.20842868414306777056828153910388295614E00|
 1|7999|1|166.25|1.79242317108462246140477691089123952674E00|1|7999|2|3.75333333333333333333333333333333333333E02|1.00809226355071783827414770192856112481E00|
 1|8611|1|300.5|1.51915451841479514747094386742237617067E00|1|8611|2|243.75|1.23421227809604305771297184795847487678E00|
 1|15345|1|148.5|1.52957840357940215316414953881397052761E00|1|15345|2|246.5|1.50879877472315250083417309113707614726E00|
 2|71|1|221.5|1.56397410833474480632545892446071160252E00|2|71|2|309|1.49170578958856827133342640689079805503E00|
 2|6103|1|1.94333333333333333333333333333333333333E02|1.51606701793073892014926581463593420137E00|2|6103|2|158.5|1.27436986361650618402265811118222859686E00|
 2|6489|1|268|1.69563723684322657135704983037064224312E00|2|6489|2|389|1.41057805192997655253227564265645978017E00|
 2|15839|1|353|1.50636844375429065451555848207934154938E00|2|15839|2|255.5|1.23623931828941022793012219812467773423E00|
 3|7207|1|3.29666666666666666666666666666666666667E02|1.59544821607203965055965987574504522374E00|3|7207|2|414.5|1.01791970790893690022094488973869778446E00|
 3|10547|1|1.82333333333333333333333333333333333333E02|1.53256415148690422315774045573828560439E00|3|10547|2|320.25|1.3024418443731521654425659473328327018E00|
 3|12867|1|278.25|1.64038001239473503011512704081257145618E00|3|12867|2|350.75|1.20069333217427955951522554101809982643E00|
 4|947|1|247.5|1.69331818134869716093056451424347256712E00|4|947|2|2.03333333333333333333333333333333333333E02|1.20543314516193108494661541963500682849E00|
 5|3137|1|271.25|1.57545322059286384509737476631896594536E00|5|3137|2|380|1.08342033886003189351104811438452653161E00|
