I_CATEGORY|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_YEAR|D_MOY|AVG_MONTHLY_SALES|SUM_SALES|PSUM|NSUM|
 Men                                               |importoimporto #1                                 |ese|Unknown|1999|3|5492.8175|2070.65|3307.78|2784.11|
 Music                                             |exportischolar #1                                 |eing|Unknown|1999|2|5.13423833333333333333333333333333333333E03|1740.21|4401.89|2721.61|
 Music                                             |edu packscholar #1                                |ese|Unknown|1999|4|5.46370083333333333333333333333333333333E03|2091.07|3391.39|3095.31|
 Music                                             |edu packscholar #1                                |ought|Unknown|1999|7|5552.305|2226.34|4081.99|7573.33|
 Music                                             |edu packscholar #1                                |ese|Unknown|1999|2|5.46370083333333333333333333333333333333E03|2268.27|4139.47|3391.39|
 Men                                               |edu packimporto #1                                |ought|Unknown|1999|7|5176.2575|1993.73|3542.54|5764.35|
 Children                                          |exportiexporti #1                                 |ese|Unknown|1999|3|5.18589833333333333333333333333333333333E03|2019.69|3479.21|2982.05|
 Shoes                                             |amalgedu pack #1                                  |ation|Unknown|1999|6|5.15209583333333333333333333333333333333E03|2077.67|3123.43|2368.73|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|3|5.50118083333333333333333333333333333333E03|2453.88|2683.7|2615.32|
 Children                                          |exportiexporti #1                                 |ation|Unknown|1999|4|5238.3575|2232.03|3221.7|3649.52|
 Shoes                                             |importoedu pack #1                                |eing|Unknown|1999|5|4698.6125|1703.27|2687.15|2757.83|
 Music                                             |exportischolar #1                                 |bar|Unknown|1999|7|5.31814666666666666666666666666666666667E03|2346.06|3483.88|7658.62|
 Music                                             |edu packscholar #1                                |ation|Unknown|1999|2|5622.2275|2657.68|4207.03|3543.82|
 Children                                          |exportiexporti #1                                 |bar|Unknown|1999|7|5280.6625|2324.79|3003.61|5961.39|
 Children                                          |importoexporti #1                                 |eing|Unknown|1999|2|4.65043833333333333333333333333333333333E03|1734.45|2341.19|2720.78|
 Shoes                                             |importoedu pack #1                                |ought|Unknown|1999|4|4.53763583333333333333333333333333333333E03|1623.33|2928.34|1905.23|
 Women                                             |edu packamalg #1                                  |ation|Unknown|1999|4|4507.4175|1596.92|2865.38|2665.75|
 Men                                               |importoimporto #1                                 |ought|Unknown|1999|6|5.04575833333333333333333333333333333333E03|2152.15|2834.94|2667.92|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|4|5.50118083333333333333333333333333333333E03|2615.32|2453.88|2874.96|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|3|5.29608916666666666666666666666666666667E03|2410.44|2685.85|3821.39|
 Men                                               |importoimporto #1                                 |able|Unknown|1999|2|5.19481833333333333333333333333333333333E03|2333.43|2765.75|2674.91|
 Music                                             |amalgscholar #1                                   |ought|Unknown|1999|2|4565.6|1727.16|3895.09|2606.58|
 Music                                             |edu packscholar #1                                |eing|Unknown|1999|5|5.53930833333333333333333333333333333333E03|2704.16|3862.34|3960.9|
 Shoes                                             |importoedu pack #1                                |ation|Unknown|1999|4|4690.5775|1855.85|3524.69|3050.34|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|2|5.50118083333333333333333333333333333333E03|2683.7|4304.21|2453.88|
 Women                                             |exportiamalg #1                                   |able|Unknown|1999|2|4.12360083333333333333333333333333333333E03|1306.4|2876.61|2238.71|
 Music                                             |exportischolar #1                                 |able|Unknown|1999|5|5090.105|2281.8|2488.24|3304.75|
 Shoes                                             |exportiedu pack #1                                |ought|Unknown|1999|2|4.75553583333333333333333333333333333333E03|1951|3949.06|2767.05|
 Men                                               |importoimporto #1                                 |ese|Unknown|1999|6|5492.8175|2691.33|3210.74|3754.33|
 Men                                               |amalgimporto #1                                   |ation|Unknown|1999|2|4.90946083333333333333333333333333333333E03|2116.43|3187.2|3356.64|
 Men                                               |importoimporto #1                                 |ought|Unknown|1999|2|5.04575833333333333333333333333333333333E03|2253.7|4158.86|3467.09|
 Shoes                                             |amalgedu pack #1                                  |ation|Unknown|1999|7|5.15209583333333333333333333333333333333E03|2368.73|2077.67|7543.6|
 Men                                               |edu packimporto #1                                |ese|Unknown|1999|3|4.97936166666666666666666666666666666667E03|2201|3110.55|3118.3|
 Children                                          |exportiexporti #1                                 |ation|Unknown|1999|2|5238.3575|2462.96|3808.48|3221.7|
 Men                                               |amalgimporto #1                                   |ation|Unknown|1999|4|4.90946083333333333333333333333333333333E03|2136.23|3356.64|3046.51|
 Children                                          |importoexporti #1                                 |able|Unknown|1999|7|4.58629833333333333333333333333333333333E03|1814.46|2643.58|6423.18|
 Men                                               |edu packimporto #1                                |ation|Unknown|1999|4|5.17036916666666666666666666666666666667E03|2407.58|3086.77|2492.73|
 Shoes                                             |amalgedu pack #1                                  |ese|Unknown|1999|7|4.39218666666666666666666666666666666667E03|1630.14|2755.91|6185.73|
 Shoes                                             |amalgedu pack #1                                  |able|Unknown|1999|5|4940.2275|2187.55|2894.91|3018.65|
 Men                                               |edu packimporto #1                                |ought|Unknown|1999|4|5176.2575|2424.94|4285.78|3286.2|
 Women                                             |amalgamalg #1                                     |able|Unknown|1999|6|4507.24|1761.81|2891.95|2302.21|
 Men                                               |importoimporto #1                                 |ation|Unknown|1999|3|5.41091666666666666666666666666666666667E03|2672.68|3591.65|2988.08|
 Men                                               |importoimporto #1                                 |ation|Unknown|1999|5|5.41091666666666666666666666666666666667E03|2677.81|2988.08|2881.34|
 Men                                               |edu packimporto #1                                |bar|Unknown|1999|4|5.63273666666666666666666666666666666667E03|2901.64|3202.87|3447.78|
 Children                                          |exportiexporti #1                                 |able|Unknown|1999|5|4.95524166666666666666666666666666666667E03|2230.8|2395.57|3003.89|
 Men                                               |importoimporto #1                                 |eing|Unknown|1999|5|5.07407666666666666666666666666666666667E03|2356.88|2833.4|2854.62|
 Men                                               |edu packimporto #1                                |bar|Unknown|1999|2|5.63273666666666666666666666666666666667E03|2916.43|3847.05|3202.87|
 Shoes                                             |exportiedu pack #1                                |ese|Unknown|1999|3|4.86528833333333333333333333333333333333E03|2151.76|3212.91|3768.25|
 Men                                               |importoimporto #1                                 |ese|Unknown|1999|4|5492.8175|2784.11|2070.65|3210.74|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|7|5.29608916666666666666666666666666666667E03|2591.12|3012.98|6254.36|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|5|4.87351083333333333333333333333333333333E03|2170.98|2302.76|3236.5|
 Shoes                                             |amalgedu pack #1                                  |able|Unknown|1999|2|4940.2275|2239.16|3495.29|2563.93|
 Children                                          |exportiexporti #1                                 |eing|Unknown|1999|7|5.10965416666666666666666666666666666667E03|2410.24|2916.46|6558.23|
 Women                                             |importoamalg #1                                   |able|Unknown|1999|7|4574.7425|1881.03|2345.66|6036.28|
 Women                                             |amalgamalg #1                                     |ought|Unknown|1999|7|4619.7075|1926.67|3528.98|5162.15|
 Children                                          |importoexporti #1                                 |bar|Unknown|1999|7|4.56677583333333333333333333333333333333E03|1879.57|3400.62|6244.92|
 Music                                             |edu packscholar #1                                |ation|Unknown|1999|6|5622.2275|2943.26|3643.42|3847.77|
 Music                                             |exportischolar #1                                 |ation|Unknown|1999|4|4962.65|2283.77|3210.01|2539.84|
 Music                                             |exportischolar #1                                 |ation|Unknown|1999|2|4962.65|2284.23|3250.69|3210.01|
 Men                                               |edu packimporto #1                                |ation|Unknown|1999|5|5.17036916666666666666666666666666666667E03|2492.73|2407.58|3288.94|
 Men                                               |edu packimporto #1                                |able|Unknown|1999|3|4.98930166666666666666666666666666666667E03|2318.98|2618.89|3315.77|
 Music                                             |exportischolar #1                                 |bar|Unknown|1999|4|5.31814666666666666666666666666666666667E03|2651.96|2989.1|3649.76|
 Music                                             |exportischolar #1                                 |bar|Unknown|1999|2|5.31814666666666666666666666666666666667E03|2656.31|3419.77|2989.1|
 Shoes                                             |amalgedu pack #1                                  |bar|Unknown|1999|6|4.80540166666666666666666666666666666667E03|2149.56|2686.7|3098.25|
 Children                                          |exportiexporti #1                                 |bar|Unknown|1999|4|5280.6625|2625.99|3301.62|4331.44|
 Music                                             |amalgscholar #1                                   |ation|Unknown|1999|4|4.93450416666666666666666666666666666667E03|2280.93|2322.89|2421.13|
 Music                                             |edu packscholar #1                                |able|Unknown|1999|7|5.33590833333333333333333333333333333333E03|2684.15|3543.33|7540.94|
 Shoes                                             |importoedu pack #1                                |eing|Unknown|1999|2|4698.6125|2058.86|3191.74|2812.15|
 Shoes                                             |edu packedu pack #1                               |ought|Unknown|1999|5|4.74529583333333333333333333333333333333E03|2109.27|3203.82|2737.82|
 Shoes                                             |importoedu pack #1                                |ought|Unknown|1999|5|4.53763583333333333333333333333333333333E03|1905.23|1623.33|3170.58|
 Men                                               |edu packimporto #1                                |able|Unknown|1999|6|4.98930166666666666666666666666666666667E03|2357.82|3363.58|3142.81|
 Children                                          |exportiexporti #1                                 |able|Unknown|1999|2|4.95524166666666666666666666666666666667E03|2326.67|2746.99|3097.63|
 Men                                               |edu packimporto #1                                |eing|Unknown|1999|5|5.50118083333333333333333333333333333333E03|2874.96|2615.32|3714|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|7|4.87351083333333333333333333333333333333E03|2256.56|3236.5|6245.37|
 Shoes                                             |importoedu pack #1                                |ese|Unknown|1999|3|4.67674916666666666666666666666666666667E03|2060.29|3273.67|2610.86|
 Men                                               |amalgimporto #1                                   |ese|Unknown|1999|6|4.76459666666666666666666666666666666667E03|2150.16|3284.27|3475.17|
 Music                                             |amalgscholar #1                                   |ation|Unknown|1999|3|4.93450416666666666666666666666666666667E03|2322.89|3197.76|2280.93|
 Shoes                                             |exportiedu pack #1                                |bar|Unknown|1999|2|5.29608916666666666666666666666666666667E03|2685.85|4235.44|2410.44|
 Children                                          |importoexporti #1                                 |able|Unknown|1999|5|4.58629833333333333333333333333333333333E03|1982.77|2837.74|2643.58|
 Music                                             |exportischolar #1                                 |able|Unknown|1999|4|5090.105|2488.24|2966.36|2281.8|
 Shoes                                             |importoedu pack #1                                |able|Unknown|1999|7|4.70091166666666666666666666666666666667E03|2100.12|2533.01|5888.57|
 Music                                             |edu packscholar #1                                |bar|Unknown|1999|2|5.48478916666666666666666666666666666667E03|2903.45|3410.13|3024.86|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|3|4.87351083333333333333333333333333333333E03|2300.45|2797.3|2302.76|
 Shoes                                             |exportiedu pack #1                                |ation|Unknown|1999|4|4.87351083333333333333333333333333333333E03|2302.76|2300.45|2170.98|
 Shoes                                             |importoedu pack #1                                |bar|Unknown|1999|3|4.79467916666666666666666666666666666667E03|2225.7|2756.97|2413.76|
 Music                                             |edu packscholar #1                                |ought|Unknown|1999|5|5552.305|2985.49|3241.69|4081.99|
 Music                                             |edu packscholar #1                                |eing|Unknown|1999|3|5.53930833333333333333333333333333333333E03|2973.01|3069.18|3862.34|
 Shoes                                             |amalgedu pack #1                                  |eing|Unknown|1999|7|4.70654416666666666666666666666666666667E03|2143.18|2458.07|5967.73|
 Children                                          |exportiexporti #1                                 |ought|Unknown|1999|5|5.01827916666666666666666666666666666667E03|2458.03|3467.53|2683.61|
 Children                                          |exportiexporti #1                                 |able|Unknown|1999|4|4.95524166666666666666666666666666666667E03|2395.57|3097.63|2230.8|
 Children                                          |exportiexporti #1                                 |eing|Unknown|1999|2|5.10965416666666666666666666666666666667E03|2550.3|4039.1|2685.1|
 Music                                             |exportischolar #1                                 |ought|Unknown|1999|4|5079.1825|2520.64|3233.5|3079.89|
 Women                                             |edu packamalg #1                                  |ation|Unknown|1999|2|4507.4175|1951.42|4166.02|2865.38|
 Women                                             |amalgamalg #1                                     |ought|Unknown|1999|1|4619.7075|2065.94|9639.59|2521.7|
 Music                                             |importoscholar #1                                 |ought|Unknown|1999|3|4.00444833333333333333333333333333333333E03|1456.84|2438.63|2790.03|
 Shoes                                             |edu packedu pack #1                               |eing|Unknown|1999|5|4.66486166666666666666666666666666666667E03|2122.71|3131.02|2852.96|
 Women                                             |importoamalg #1                                   |bar|Unknown|1999|3|4.43721083333333333333333333333333333333E03|1895.27|2678.48|2999.04|
 Music                                             |exportischolar #1                                 |able|Unknown|1999|2|5090.105|2550.48|3702.29|2966.36|
 Music                                             |edu packscholar #1                                |able|Unknown|1999|1|5.33590833333333333333333333333333333333E03|2796.97|13360.68|3413.22|
 Children                                          |exportiexporti #1                                 |eing|Unknown|1999|4|5.10965416666666666666666666666666666667E03|2574.12|2685.1|2672.73|
