CHANNEL|ITEM|RETURN_RATIO|RETURN_RANK|CURRENCY_RANK|
 catalog|17543|5.71428571428571428571428571428571428571E-01|1|1|
 catalog|14513|6.35416666666666666666666666666666666667E-01|2|2|
 catalog|12577|6.55913978494623655913978494623655913979E-01|3|3|
 catalog|3411|7.16417910447761194029850746268656716418E-01|4|4|
 catalog|361|7.46478873239436619718309859154929577465E-01|5|5|
 catalog|8189|7.46987951807228915662650602409638554217E-01|6|6|
 catalog|8929|.7625|7|7|
 catalog|14869|7.71739130434782608695652173913043478261E-01|8|8|
 catalog|9295|7.78947368421052631578947368421052631579E-01|9|9|
 catalog|16215|7.90697674418604651162790697674418604651E-01|10|10|
 store|9471|.775|1|1|
 store|9797|.8|2|2|
 store|12641|8.16091954022988505747126436781609195402E-01|3|3|
 store|15839|8.16326530612244897959183673469387755102E-01|4|4|
 store|1171|8.24175824175824175824175824175824175824E-01|5|5|
 store|11589|8.26530612244897959183673469387755102041E-01|6|6|
 store|6661|9.22077922077922077922077922077922077922E-01|7|7|
 store|13013|9.42028985507246376811594202898550724638E-01|8|8|
 store|14925|9.64705882352941176470588235294117647059E-01|9|9|
 store|4063|1|10|10|
 store|9029|1|10|10|
 web|7539|.59|1|1|
 web|3337|6.26506024096385542168674698795180722892E-01|2|2|
 web|15597|6.6197183098591549295774647887323943662E-01|3|3|
 web|2915|6.98630136986301369863013698630136986301E-01|4|4|
 web|11933|7.17171717171717171717171717171717171717E-01|5|5|
 web|3305|.7375|6|16|
 web|483|.8|7|6|
 web|85|8.57142857142857142857142857142857142857E-01|8|7|
 web|97|9.0361445783132530120481927710843373494E-01|9|8|
 web|117|.925|10|9|
 web|5299|9.27083333333333333333333333333333333333E-01|11|10|
