ITEM_SK|D_DATE|WEB_SALES|STORE_SALES|WEB_CUMULATIVE|STORE_CUMULATIVE|
 14|2000-01-10 00:00:00.0|176.83||176.83|73.6|
 14|2000-01-21 00:00:00.0||75.29|176.83|75.29|
 14|2000-01-29 00:00:00.0|222.33||222.33|75.29|
 14|2000-02-02 00:00:00.0|224.01||224.01|75.29|
 14|2000-02-08 00:00:00.0||85.07|224.01|85.07|
 14|2000-02-19 00:00:00.0||98.6|224.01|98.6|
 14|2000-02-21 00:00:00.0|241.64||241.64|98.6|
 14|2000-02-22 00:00:00.0||99.83|241.64|99.83|
 14|2000-03-18 00:00:00.0||112.82|241.64|112.82|
 14|2000-03-23 00:00:00.0|251.15||251.15|112.82|
 14|2000-03-28 00:00:00.0|260.17||260.17|112.82|
 14|2000-03-31 00:00:00.0|370.74||370.74|112.82|
 14|2000-04-05 00:00:00.0||115.94|370.74|115.94|
 14|2000-04-15 00:00:00.0|445.3||445.3|115.94|
 14|2000-04-27 00:00:00.0||151.48|445.3|151.48|
 14|2000-05-03 00:00:00.0||176.89|445.3|176.89|
 14|2000-05-10 00:00:00.0|451.4||451.4|176.89|
 14|2000-05-21 00:00:00.0||238.39|451.4|238.39|
 14|2000-05-26 00:00:00.0|596.81||596.81|238.39|
 14|2000-05-29 00:00:00.0||242.51|596.81|242.51|
 14|2000-06-05 00:00:00.0||304.64|596.81|304.64|
 14|2000-07-03 00:00:00.0|623.77||623.77|304.64|
 14|2000-07-07 00:00:00.0||307.77|623.77|307.77|
 14|2000-07-18 00:00:00.0||320.04|623.77|320.04|
 14|2000-07-25 00:00:00.0|673.08||673.08|320.04|
 14|2000-08-10 00:00:00.0||411.48|673.08|411.48|
 14|2000-08-14 00:00:00.0||465.85|673.08|465.85|
 14|2000-08-21 00:00:00.0||541.45|673.08|541.45|
 14|2000-08-26 00:00:00.0||574.56|673.08|574.56|
 19|2000-01-02 00:00:00.0|56.96|49.68|56.96|49.68|
 25|2000-01-21 00:00:00.0|97.29||97.29|4.49|
 25|2000-01-28 00:00:00.0|192.46||192.46|4.49|
 25|2000-02-09 00:00:00.0||24.23|192.46|24.23|
 25|2000-02-11 00:00:00.0||98.99|192.46|98.99|
 25|2000-02-21 00:00:00.0||170.6|192.46|170.6|
 25|2000-02-22 00:00:00.0||185.05|192.46|185.05|
 35|2000-01-14 00:00:00.0||55.24|177.88|55.24|
 35|2000-01-16 00:00:00.0||95.92|177.88|95.92|
 35|2000-01-18 00:00:00.0||126.45|177.88|126.45|
 35|2000-01-19 00:00:00.0||167.07|177.88|167.07|
 35|2000-02-17 00:00:00.0||173.97|177.88|173.97|
 35|2000-02-22 00:00:00.0|270.43||270.43|173.97|
 35|2000-02-23 00:00:00.0||180.61|270.43|180.61|
 35|2000-03-03 00:00:00.0||181.99|270.43|181.99|
 35|2000-03-05 00:00:00.0||221.24|270.43|221.24|
 35|2000-03-06 00:00:00.0||266.41|270.43|266.41|
 37|2000-01-02 00:00:00.0|31.75|11.89|31.75|11.89|
 37|2000-01-04 00:00:00.0||17.15|31.75|17.15|
 37|2000-01-05 00:00:00.0|34.34||34.34|17.15|
 37|2000-01-06 00:00:00.0||29.67|34.34|29.67|
 41|2000-01-21 00:00:00.0||15.54|123.34|15.54|
 41|2000-02-03 00:00:00.0||21.04|123.34|21.04|
 41|2000-02-16 00:00:00.0||33.46|123.34|33.46|
 41|2000-02-20 00:00:00.0||37.46|123.34|37.46|
 41|2000-02-22 00:00:00.0||58.57|123.34|58.57|
