ITEM_ID|SR_ITEM_QTY|SR_DEV|CR_ITEM_QTY|CR_DEV|WR_ITEM_QTY|WR_DEV|AVERAGE|
 AAAAAAAAANECAAAA|34|1.85792349726775956284153005464480874317E01|9|4.91803278688524590163934426229508196721E00|18|9.83606557377049180327868852459016393443E00|2.03333333333333333333333333333333333333E01|
 AAAAAAAACAOBAAAA|27|1.16883116883116883116883116883116883117E01|38|1.64502164502164502164502164502164502165E01|12|5.19480519480519480519480519480519480519E00|2.56666666666666666666666666666666666667E01|
 AAAAAAAACBNDAAAA|38|1.16207951070336391437308868501529051988E01|52|1.59021406727828746177370030581039755352E01|19|5.81039755351681957186544342507645259939E00|3.63333333333333333333333333333333333333E01|
 AAAAAAAACCGAAAAA|30|1.51515151515151515151515151515151515152E01|18|9.09090909090909090909090909090909090909E00|18|9.09090909090909090909090909090909090909E00|22|
 AAAAAAAACKBDAAAA|32|1.26984126984126984126984126984126984127E01|22|8.73015873015873015873015873015873015873E00|30|1.19047619047619047619047619047619047619E01|28|
 AAAAAAAACOIBAAAA|31|8.07291666666666666666666666666666666667E00|29|7.55208333333333333333333333333333333333E00|68|1.77083333333333333333333333333333333333E01|4.26666666666666666666666666666666666667E01|
 AAAAAAAAEBLDAAAA|9|3.7037037037037037037037037037037037037E00|34|1.39917695473251028806584362139917695473E01|38|1.56378600823045267489711934156378600823E01|27|
 AAAAAAAAELFDAAAA|54|2.02247191011235955056179775280898876405E01|4|1.49812734082397003745318352059925093633E00|31|1.16104868913857677902621722846441947566E01|2.96666666666666666666666666666666666667E01|
 AAAAAAAAFEBAAAAA|19|1.54471544715447154471544715447154471545E01|17|1.38211382113821138211382113821138211382E01|5|4.06504065040650406504065040650406504065E00|1.36666666666666666666666666666666666667E01|
 AAAAAAAAFODDAAAA|30|1.14942528735632183908045977011494252874E01|7|2.68199233716475095785440613026819923372E00|50|1.91570881226053639846743295019157088123E01|29|
 AAAAAAAAGLMCAAAA|37|2.68115942028985507246376811594202898551E01|3|2.17391304347826086956521739130434782609E00|6|4.34782608695652173913043478260869565217E00|1.53333333333333333333333333333333333333E01|
 AAAAAAAAHAGDAAAA|16|8.33333333333333333333333333333333333333E00|15|7.8125|33|17.1875|2.13333333333333333333333333333333333333E01|
 AAAAAAAAHCDEAAAA|41|1.92488262910798122065727699530516431925E01|1|4.69483568075117370892018779342723004693E-01|29|1.36150234741784037558685446009389671362E01|2.36666666666666666666666666666666666667E01|
 AAAAAAAALAEBAAAA|19|6.95970695970695970695970695970695970696E00|21|7.69230769230769230769230769230769230769E00|51|1.86813186813186813186813186813186813187E01|3.03333333333333333333333333333333333333E01|
 AAAAAAAAMBDEAAAA|26|6.37254901960784313725490196078431372549E00|66|1.61764705882352941176470588235294117647E01|44|1.07843137254901960784313725490196078431E01|4.53333333333333333333333333333333333333E01|
 AAAAAAAAMBGBAAAA|5|5.05050505050505050505050505050505050505E00|1|1.01010101010101010101010101010101010101E00|27|2.72727272727272727272727272727272727273E01|11|
 AAAAAAAAMDODAAAA|17|1.08974358974358974358974358974358974359E01|32|2.05128205128205128205128205128205128205E01|3|1.92307692307692307692307692307692307692E00|1.73333333333333333333333333333333333333E01|
 AAAAAAAAMOIAAAAA|84|2.54545454545454545454545454545454545455E01|12|3.63636363636363636363636363636363636364E00|14|4.24242424242424242424242424242424242424E00|3.66666666666666666666666666666666666667E01|
 AAAAAAAANMAAAAAA|12|25|1|2.08333333333333333333333333333333333333E00|3|6.25|5.33333333333333333333333333333333333333E00|
 AAAAAAAAODOAAAAA|5|4.38596491228070175438596491228070175439E00|3|2.63157894736842105263157894736842105263E00|30|2.63157894736842105263157894736842105263E01|1.26666666666666666666666666666666666667E01|
 AAAAAAAAPJOCAAAA|29|1.53439153439153439153439153439153439153E01|21|1.11111111111111111111111111111111111111E01|13|6.87830687830687830687830687830687830688E00|21|
