I_CATEGORY|I_CLASS|I_BRAND|S_STORE_NAME|S_COMPANY_NAME|D_MOY|SUM_SALES|AVG_MONTHLY_SALES|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|3|2070.65|5492.8175|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|6|2152.15|5.04575833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|2|2333.43|5.19481833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|6|2691.33|5492.8175|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|2|2253.7|5.04575833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|6|1761.81|4507.24|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|3|2672.68|5.41091666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|5|2677.81|5.41091666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|5|2356.88|5.07407666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ese|Unknown|4|2784.11|5492.8175|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|7|1926.67|4619.7075|
 Women                                             |dresses                                           |amalgamalg #1                                     |ought|Unknown|1|2065.94|4619.7075|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|6|2881.34|5.41091666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|3|2674.91|5.19481833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ation|Unknown|2|2192.31|4690.89|
 Men                                               |shirts                                            |importoimporto #1                                 |bar|Unknown|5|2475.9|4.97350916666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|2|2146.52|4.64299083333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |eing|Unknown|2|2588.02|5.07407666666666666666666666666666666667E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|7|2428.75|4.91411833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|3|2451.51|4.91411833333333333333333333333333333333E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|7|2951.67|5.41091666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |able|Unknown|1|2765.75|5.19481833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |able|Unknown|2|2082.54|4507.24|
 Men                                               |shirts                                            |importoimporto #1                                 |ation|Unknown|4|2988.08|5.41091666666666666666666666666666666667E03|
 Men                                               |shirts                                            |importoimporto #1                                 |ought|Unknown|7|2667.92|5.04575833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |bar|Unknown|4|2549.27|4.91411833333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |ese|Unknown|7|2307|4.64299083333333333333333333333333333333E03|
 Women                                             |dresses                                           |amalgamalg #1                                     |eing|Unknown|4|2204.15|4528.8225|
