nation|o_year|sum_profit
ALGERIA                  |1998.0|97864.5682
ALGERIA                  |1997.0|368231.6695
ALGERIA                  |1996.0|196525.8046
ALGERIA                  |1995.0|341438.6885
ALGERIA                  |1994.0|677444.0160000001
ALGERIA                  |1993.0|458756.9157
ALGERIA                  |1992.0|549243.9511
ARGENTINA                |1998.0|80448.76800000001
ARGENTINA                |1997.0|186279.16179999997
ARGENTINA                |1996.0|154041.8822
ARGENTINA                |1995.0|113143.3119
ARGENTINA                |1994.0|169680.4239
ARGENTINA                |1993.0|116513.81409999999
ARGENTINA                |1992.0|202404.7608
BRAZIL                   |1998.0|75952.5946
BRAZIL                   |1997.0|190548.11039999998
BRAZIL                   |1996.0|219059.06919999994
BRAZIL                   |1995.0|186435.2023
BRAZIL                   |1994.0|96835.187
BRAZIL                   |1993.0|186365.41090000002
BRAZIL                   |1992.0|152546.44389999998
CANADA                   |1998.0|101030.3336
CANADA                   |1997.0|101197.34409999999
CANADA                   |1996.0|257697.13549999997
CANADA                   |1995.0|91474.88200000001
CANADA                   |1994.0|249182.7548
CANADA                   |1993.0|185737.8379
CANADA                   |1992.0|143371.74649999998
CHINA                    |1998.0|508364.5443999999
CHINA                    |1997.0|650235.1645999999
CHINA                    |1996.0|911366.0697999998
CHINA                    |1995.0|797268.4075999997
CHINA                    |1994.0|529989.3094999999
CHINA                    |1993.0|573864.3972
CHINA                    |1992.0|751688.7612999999
EGYPT                    |1998.0|306325.2842
EGYPT                    |1997.0|568461.6699
EGYPT                    |1996.0|465081.92319999996
EGYPT                    |1995.0|542886.5087
EGYPT                    |1994.0|745807.8123000001
EGYPT                    |1993.0|381503.2008
EGYPT                    |1992.0|641866.4367000001
ETHIOPIA                 |1998.0|226054.5716
ETHIOPIA                 |1997.0|585193.2801999999
ETHIOPIA                 |1996.0|405412.77410000004
ETHIOPIA                 |1995.0|270455.76369999995
ETHIOPIA                 |1994.0|567875.4279
ETHIOPIA                 |1993.0|412302.28709999996
ETHIOPIA                 |1992.0|551284.5820999999
FRANCE                   |1998.0|135723.40500000003
FRANCE                   |1997.0|249664.75779999996
FRANCE                   |1996.0|175882.8934
FRANCE                   |1995.0|116394.78659999999
FRANCE                   |1994.0|197695.2438
FRANCE                   |1993.0|231878.62009999997
FRANCE                   |1992.0|199131.20369999995
GERMANY                  |1998.0|172741.10239999997
GERMANY                  |1997.0|393833.4659999999
GERMANY                  |1996.0|335634.5936
GERMANY                  |1995.0|378106.07629999996
GERMANY                  |1994.0|250107.66529999996
GERMANY                  |1993.0|327154.93650000007
GERMANY                  |1992.0|387240.08849999995
INDIA                    |1998.0|347548.76039999997
INDIA                    |1997.0|656797.967
INDIA                    |1996.0|522759.35289999994
INDIA                    |1995.0|574428.6693
INDIA                    |1994.0|741983.7846
INDIA                    |1993.0|729948.5341
INDIA                    |1992.0|661061.1415000001
INDONESIA                |1998.0|91791.50960000002
INDONESIA                |1997.0|183956.46130000002
INDONESIA                |1996.0|415234.7848
INDONESIA                |1995.0|427155.38039999997
INDONESIA                |1994.0|286271.2875
INDONESIA                |1993.0|551178.8823
INDONESIA                |1992.0|274513.26850000006
IRAN                     |1998.0|47959.8219
IRAN                     |1997.0|184335.0615
IRAN                     |1996.0|223115.2464
IRAN                     |1995.0|125339.0927
IRAN                     |1994.0|117228.3122
IRAN                     |1993.0|208030.32290000003
IRAN                     |1992.0|161835.54750000002
IRAQ                     |1998.0|161797.4924
IRAQ                     |1997.0|224876.54360000003
IRAQ                     |1996.0|145277.898
IRAQ                     |1995.0|467955.25049999997
IRAQ                     |1994.0|97455.29900000001
IRAQ                     |1993.0|114821.64400000001
IRAQ                     |1992.0|213307.1574
JAPAN                    |1998.0|307594.598
JAPAN                    |1997.0|339018.14879999997
JAPAN                    |1996.0|649578.3367999999
JAPAN                    |1995.0|671644.0910999998
JAPAN                    |1994.0|576266.2385999999
JAPAN                    |1993.0|514190.84369999997
JAPAN                    |1992.0|534914.9339
JORDAN                   |1996.0|33460.2447
JORDAN                   |1995.0|20364.162300000004
JORDAN                   |1994.0|15528.608800000002
JORDAN                   |1993.0|14640.988899999998
JORDAN                   |1992.0|10904.293099999999
KENYA                    |1998.0|521926.5198
KENYA                    |1997.0|559632.3408
KENYA                    |1996.0|772855.7939
KENYA                    |1995.0|516452.5066999999
KENYA                    |1994.0|543665.8154
KENYA                    |1993.0|866924.8754000005
KENYA                    |1992.0|567410.5501999999
MOROCCO                  |1998.0|217794.49730000002
MOROCCO                  |1997.0|439240.9286999999
MOROCCO                  |1996.0|399969.4679999999
MOROCCO                  |1995.0|258131.9398
MOROCCO                  |1994.0|386972.14239999995
MOROCCO                  |1993.0|145468.0381
MOROCCO                  |1992.0|284314.2813
MOZAMBIQUE               |1998.0|518693.2238
MOZAMBIQUE               |1997.0|613873.2960999999
MOZAMBIQUE               |1996.0|936793.5612
MOZAMBIQUE               |1995.0|727204.7718000002
MOZAMBIQUE               |1994.0|1104618.1807
MOZAMBIQUE               |1993.0|893266.0530000001
MOZAMBIQUE               |1992.0|1062432.0884000002
PERU                     |1998.0|287242.9797
PERU                     |1997.0|532358.3659999999
PERU                     |1996.0|398435.75070000003
PERU                     |1995.0|462031.6251
PERU                     |1994.0|304235.4118
PERU                     |1993.0|505885.489
PERU                     |1992.0|382290.09469999996
ROMANIA                  |1998.0|357824.5528
ROMANIA                  |1997.0|569806.5564
ROMANIA                  |1996.0|732001.5568
ROMANIA                  |1995.0|408657.11540000007
ROMANIA                  |1994.0|540702.5463
ROMANIA                  |1993.0|883158.5055999999
ROMANIA                  |1992.0|505488.9501
RUSSIA                   |1998.0|34448.635699999984
RUSSIA                   |1997.0|314972.04459999996
RUSSIA                   |1996.0|430049.5821
RUSSIA                   |1995.0|360538.05859999993
RUSSIA                   |1994.0|301791.0114
RUSSIA                   |1993.0|308993.9622
RUSSIA                   |1992.0|289868.6564
SAUDI ARABIA             |1998.0|16502.41
SAUDI ARABIA             |1997.0|61830.9556
SAUDI ARABIA             |1996.0|213650.28089999998
SAUDI ARABIA             |1995.0|62668.72499999999
SAUDI ARABIA             |1994.0|94629.1538
SAUDI ARABIA             |1993.0|57768.307100000005
SAUDI ARABIA             |1992.0|66520.10930000001
UNITED KINGDOM           |1998.0|80437.6523
UNITED KINGDOM           |1997.0|252509.73509999996
UNITED KINGDOM           |1996.0|231152.85820000002
UNITED KINGDOM           |1995.0|181310.88079999996
UNITED KINGDOM           |1994.0|239161.20609999995
UNITED KINGDOM           |1993.0|122103.1142
UNITED KINGDOM           |1992.0|60882.308
UNITED STATES            |1998.0|440347.6658000001
UNITED STATES            |1997.0|652958.9371000001
UNITED STATES            |1996.0|1004593.8282000001
UNITED STATES            |1995.0|860144.1028999999
UNITED STATES            |1994.0|807797.4877
UNITED STATES            |1993.0|736669.4711000001
UNITED STATES            |1992.0|877851.4103
VIETNAM                  |1998.0|358248.01589999994
VIETNAM                  |1997.0|394817.28420000005
VIETNAM                  |1996.0|439390.0836000001
VIETNAM                  |1995.0|418626.6325
VIETNAM                  |1994.0|422644.8167999999
VIETNAM                  |1993.0|309063.402
VIETNAM                  |1992.0|716126.5377999999
